trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,12,0,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.01508331298828125,0.040863037109375,0.05594635009765625
13,pre,mean_delta,12,1,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.0175018310546875,0.0352783203125,0.0177764892578125
13,pre,mean_delta,12,2,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.004116058349609375,0.049224853515625,0.053340911865234375
13,pre,mean_delta,12,3,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.023040771484375,0.0172271728515625,-0.0058135986328125
13,pre,mean_delta,12,4,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.0924072265625,-0.06103515625,0.0313720703125
13,pre,mean_delta,12,5,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.0323486328125,0.0791015625,0.0467529296875
13,pre,mean_delta,12,6,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.00988006591796875,-0.01187896728515625,-0.0019989013671875
13,pre,mean_delta,12,7,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.005092620849609375,0.003910064697265625,-0.00118255615234375
13,pre,mean_delta,12,8,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.006267547607421875,0.00038433074951171875,0.006651878356933594
13,pre,mean_delta,12,9,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.11224365234375,-0.08953857421875,0.022705078125
13,pre,mean_delta,12,10,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.016876220703125,-0.01214599609375,0.004730224609375
13,pre,mean_delta,12,11,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.018341064453125,0.028778076171875,0.01043701171875
13,pre,mean_delta,12,12,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.047393798828125,-0.059326171875,-0.106719970703125
13,pre,mean_delta,12,13,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.0018568038940429688,0.0181884765625,0.01633167266845703
13,pre,mean_delta,12,14,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.00955963134765625,0.00640106201171875,-0.0031585693359375
13,pre,mean_delta,12,15,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.01100921630859375,0.1387939453125,0.12778472900390625
13,pre,mean_delta,12,16,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.01242828369140625,-0.0135650634765625,-0.00113677978515625
13,pre,mean_delta,12,17,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.00279998779296875,0.00220489501953125,0.0050048828125
13,pre,mean_delta,12,18,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.0033931732177734375,0.00452423095703125,0.0011310577392578125
13,pre,mean_delta,12,19,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.002986907958984375,0.0005197525024414062,0.0035066604614257812
13,pre,mean_delta,12,20,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.005153656005859375,-0.019683837890625,-0.014530181884765625
13,pre,mean_delta,12,21,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.02484130859375,0.00853729248046875,0.03337860107421875
13,pre,mean_delta,12,22,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,-0.0123748779296875,-0.0028247833251953125,0.009550094604492188
13,pre,mean_delta,12,23,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.00829315185546875,0.02801513671875,0.01972198486328125
13,pre,mean_delta,12,24,86,Invoke-WebRequest,3784.ps1,1362__seed_94c9b9d4d0af__invoke_webrequest_alias.ps1,0.0262603759765625,0.033111572265625,0.0068511962890625
