ablation_label,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h12.15+h12.5+h12.4+h12.2+h12.28,4.375,3.109375,-1.265625,-28.92857142857143,1,-EncodedCommand,1735.ps1,3321__seed_04ae01372a3c__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,4.6875,3.453125,-1.234375,-26.333333333333332,2,-EncodedCommand,1735.ps1,3321__seed_04ae01372a3c__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,4.03125,2.71875,-1.3125,-32.55813953488372,3,-EncodedCommand,1735.ps1,3321__seed_04ae01372a3c__split_quoted_encodedcommand_literal.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,6.421875,4.890625,-1.53125,-23.844282238442823,4,-EncodedCommand,1735.ps1,3943__seed_c7ebd5a8de5d__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,6.140625,4.71875,-1.421875,-23.155216284987276,5,-EncodedCommand,1735.ps1,3943__seed_c7ebd5a8de5d__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,5.328125,4.125,-1.203125,-22.58064516129032,6,-EncodedCommand,1735.ps1,3943__seed_c7ebd5a8de5d__split_quoted_encodedcommand_literal.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,0.231689453125,0.55029296875,0.318603515625,137.5131717597471,7,-EncodedCommand,1735.ps1,1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37__seed_3652acdb56d5__invoke_expression_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,0.958984375,0.72509765625,-0.23388671875,-24.389002036659875,8,-EncodedCommand,2150.ps1,1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37-obf-out-obfuscatedast__seed_2ec1a3e97689__invoke_expression_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,4.15625,2.78125,-1.375,-33.08270676691729,9,DownloadFile,2670.ps1,137__seed_deed4f58b70d__start_process_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,3.078125,1.5625,-1.515625,-49.23857868020304,10,DownloadFile,2670.ps1,137__seed_deed4f58b70d__downloadfile_psobject_invoke.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,4.5,2.828125,-1.671875,-37.15277777777778,11,DownloadFile,2670.ps1,bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7__seed_6f4b268bd776__start_process_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.2+h12.28,3.953125,2.328125,-1.625,-41.10671936758894,12,DownloadFile,2670.ps1,bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7__seed_6f4b268bd776__downloadfile_psobject_invoke.ps1,False
