patch_label,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h12.15+h12.5+h12.4+h12.28,4.375,1.46875,-2.90625,-66.42857142857143,1,-EncodedCommand,1735.ps1,3321__seed_04ae01372a3c__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,4.6875,1.484375,-3.203125,-68.33333333333333,2,-EncodedCommand,1735.ps1,3321__seed_04ae01372a3c__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,4.03125,1.171875,-2.859375,-70.93023255813954,3,-EncodedCommand,1735.ps1,3321__seed_04ae01372a3c__split_quoted_encodedcommand_literal.ps1,False
h12.15+h12.5+h12.4+h12.28,6.421875,2.140625,-4.28125,-66.66666666666666,4,-EncodedCommand,1735.ps1,3943__seed_c7ebd5a8de5d__iex_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,6.140625,1.921875,-4.21875,-68.70229007633588,5,-EncodedCommand,1735.ps1,3943__seed_c7ebd5a8de5d__iex_scriptblock_create.ps1,False
h12.15+h12.5+h12.4+h12.28,5.328125,1.265625,-4.0625,-76.24633431085044,6,-EncodedCommand,1735.ps1,3943__seed_c7ebd5a8de5d__split_quoted_encodedcommand_literal.ps1,False
h12.15+h12.5+h12.4+h12.28,0.231689453125,0.127685546875,-0.10400390625,-44.889357218124346,7,-EncodedCommand,1735.ps1,1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37__seed_3652acdb56d5__invoke_expression_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,0.958984375,0.53515625,-0.423828125,-44.19551934826884,8,-EncodedCommand,2150.ps1,1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37-obf-out-obfuscatedast__seed_2ec1a3e97689__invoke_expression_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,4.15625,0.578125,-3.578125,-86.09022556390977,9,DownloadFile,2670.ps1,137__seed_deed4f58b70d__start_process_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,3.078125,-0.015625,-3.09375,-100.50761421319795,10,DownloadFile,2670.ps1,137__seed_deed4f58b70d__downloadfile_psobject_invoke.ps1,True
h12.15+h12.5+h12.4+h12.28,4.5,1.46875,-3.03125,-67.36111111111111,11,DownloadFile,2670.ps1,bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7__seed_6f4b268bd776__start_process_call_operator_string.ps1,False
h12.15+h12.5+h12.4+h12.28,3.953125,0.515625,-3.4375,-86.95652173913044,12,DownloadFile,2670.ps1,bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7__seed_6f4b268bd776__downloadfile_psobject_invoke.ps1,False
h12.15+h12.5+h12.4+h12.28,4.40625,0.828125,-3.578125,-81.20567375886525,13,DownloadFile,2670.ps1,fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384__seed_a95975b607c4__start_process_call_operator_string.ps1,False
