variant_id,review_status,review_type,review_reason,syntax_ok,runtime_target_ok,behavior_equivalent_confidence,review_notes,parse_attempted,parse_error_count,parse_error_messages,validated_runtimes,invariant_checks_ok,invariant_failures
variant_b37ad4b25468,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_190ebfba2bcf,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_1cedb1cf0f6d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_3aa518fbb93d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_274dd0f63dd2,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_a2b0d1c81915,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_a56870217220,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_9a9364dd8124,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_fabab212872a,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_6462918c95c0,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_c81972b584ff,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_b79bc2dee7c4,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_158855353586,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_1f0f1e17dd8b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_4424d956f84a,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_f442c7a73641,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_4c82e5454619,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_5614aa5102cc,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_1097893333be,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_0019c4948215,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_5d22f796740d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_e81227f5ae5d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_03ef65f8676b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_5f29ebb9ebc4,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_71dd840c5b0d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_0b864ce5a9e6,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_0db057be483e,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_6e8eec7f2d21,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_3812d4a81b64,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_3e5ae6c5b958,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_a18502c68d83,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_97375a618a00,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_937e4a710e78,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_db38e58cbba8,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_2720e629f18f,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_e30a68715d39,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_6db2e9146f2e,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_43762b130597,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_657cf96b4969,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_fad3b0f36ffe,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_a52b1fee6756,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_c586c265a486,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_197c8f370a70,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_a4a65e9619ea,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_478725f41b70,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_79651ce4f31b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_0bd1909d9592,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_da7a438bd2fb,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_a4544529202a,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_d4af70397078,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_453c2b9c6b77,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_5963b308653f,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_47a0f33be4ec,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_73de9d5eb2d1,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_acf45cbb1f6e,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_db16bee2775b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_634cf8d5eb99,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_f402c622cecf,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_9ed7ee1ef941,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_16952a941f2e,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_2f3132535731,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_6420eb2815a2,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_748bc8b9e865,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_f4cde44ad73f,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",False,False,low,,True,1,tree_sitter_parse_error,tree_sitter_powershell,True,
variant_4bc5086d8267,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
