variant_id,review_status,review_type,review_reason,syntax_ok,runtime_target_ok,behavior_equivalent_confidence,review_notes,parse_attempted,parse_error_count,parse_error_messages,validated_runtimes,invariant_checks_ok,invariant_failures
variant_f5181c57f2ea,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_08a2ea9201a2,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_5871173eee1b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_fb0f7bc2bebe,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_d0fa0c92c8ac,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_2ea3d3646fe1,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_c16d0d840b7d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_8376435d32bf,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_de16503356bb,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_72850d51854a,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_39d9e206320c,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_d18c1f75eec4,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_ed8dd58aa2eb,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_485cb5d08bbd,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_8d49389a572d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_f61a17e5e0df,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
