rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
0,102,"'"")\n'",1158,0.156829,3,malicious,DownloadFile,107
1,88,"'"");'",5146,0.102098,3,malicious,DownloadFile,107
2,78,"""',""",518,0.083638,3,malicious,DownloadFile,107
3,104,'`\n',4077,0.049705,3,malicious,DownloadFile,107
4,58,'.Web',6609,0.045823,3,malicious,DownloadFile,107
5,52,'\n',198,0.04473,3,malicious,DownloadFile,107
6,10,' as',439,0.040079,3,malicious,DownloadFile,107
7,0,'You',2675,0.027848,3,malicious,DownloadFile,107
8,62,'File',1738,0.022156,3,malicious,DownloadFile,107
9,105,'Answer',16533,0.021311,3,malicious,DownloadFile,107
10,92,"' (""'",3573,0.020092,3,malicious,DownloadFile,107
11,71,'/P',16744,0.020032,3,malicious,DownloadFile,107
12,59,'Client',3032,0.017688,3,malicious,DownloadFile,107
13,106,':',25,0.017248,3,malicious,DownloadFile,107
14,56,' System',744,0.015238,3,malicious,DownloadFile,107
0,306,' /',611,0.049669,3,benign,DownloadFile,348
1,337,'-P',9483,0.042616,3,benign,DownloadFile,348
2,308,"' ""$'",5312,0.041532,3,benign,DownloadFile,348
3,345,'`\n',4077,0.041035,3,benign,DownloadFile,348
4,341,'Management',23030,0.040309,3,benign,DownloadFile,348
5,300,'()\n\n',2892,0.033207,3,benign,DownloadFile,348
6,278,'.Web',6609,0.031063,3,benign,DownloadFile,348
7,332,"'""\n'",702,0.028972,3,benign,DownloadFile,348
8,331,'Filename',21422,0.025989,3,benign,DownloadFile,348
9,245,'()\n',746,0.021528,3,benign,DownloadFile,348
10,340,'Package',13401,0.021196,3,benign,DownloadFile,348
11,314,"'""\n\n'",1875,0.020139,3,benign,DownloadFile,348
12,220,'.Web',6609,0.018707,3,benign,DownloadFile,348
13,346,'Answer',16533,0.017592,3,benign,DownloadFile,348
14,342,'\n\n\n',1432,0.016724,3,benign,DownloadFile,348
0,99,"'"")\n'",1158,0.154147,4,malicious,DownloadFile,104
1,85,"'"");'",5146,0.100241,4,malicious,DownloadFile,104
