pair_idx,pair_indicator,benign_filename,benign_manifest_rank,benign_used_char_len,malicious_filename,malicious_manifest_rank,malicious_used_char_len,indicator_positions,indicator_count
3,DownloadFile,2670.ps1,,975,1611.ps1,,152,"[57, 58, 59, 61, 62, 89, 90, 91]",3
4,DownloadFile,2670.ps1,,975,4030.ps1,,152,"[57, 58, 59, 61, 62, 86, 87, 88]",3
5,DownloadFile,2670.ps1,,975,1011.ps1,,151,"[57, 58, 59, 61, 62, 87, 88, 89]",3
6,DownloadFile,2670.ps1,,975,2833.ps1,,151,"[57, 58, 59, 61, 62, 87, 88, 89]",3
7,DownloadFile,2670.ps1,,975,3414.ps1,,151,"[57, 58, 59, 61, 62, 87, 88, 89]",3
8,DownloadFile,2670.ps1,,975,1515.ps1,,149,"[57, 58, 59, 61, 62, 87, 88, 89]",3
9,DownloadFile,2670.ps1,,975,1839.ps1,,149,"[57, 58, 59, 61, 62, 87, 88, 89]",3
10,DownloadFile,2670.ps1,,975,1931.ps1,,149,"[57, 58, 59, 61, 62, 87, 88, 89]",3
11,DownloadFile,2670.ps1,,975,3671.ps1,,149,"[57, 58, 59, 61, 62, 87, 88, 89]",3
12,DownloadFile,2670.ps1,,975,2227.ps1,,147,"[57, 58, 59, 61, 62, 87, 88, 89]",3
13,DownloadFile,2670.ps1,,975,3545.ps1,,146,"[57, 58, 59, 61, 62, 87, 88, 89]",3
14,DownloadFile,2670.ps1,,975,1946.ps1,,144,"[57, 58, 59, 61, 62, 84, 85, 86]",3
15,DownloadFile,2670.ps1,,975,3426.ps1,,143,"[57, 58, 59, 61, 62, 86, 87, 88]",3
16,DownloadFile,2670.ps1,,975,1693.ps1,,141,"[57, 58, 59, 61, 62, 85, 86, 87]",3
17,DownloadFile,2670.ps1,,975,179.ps1,,141,"[57, 58, 59, 61, 62, 87, 88, 89]",3
18,DownloadFile,2670.ps1,,975,2294.ps1,,141,"[57, 58, 59, 61, 62, 86, 87, 88]",3
19,DownloadFile,2670.ps1,,975,2713.ps1,,141,"[57, 58, 59, 61, 62, 87, 88, 89]",3
20,DownloadFile,2670.ps1,,975,2920.ps1,,141,"[57, 58, 59, 61, 62, 87, 88, 89]",3
