layer,head,attention_delta,pair_idx,benign_filename,malicious_filename,pair_indicator
0,22,0.0006498707225546241,61,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,Invoke-Expression
0,31,-1.3802672112900316e-12,61,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,Invoke-Expression
0,29,-6.57756231703388e-08,61,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,Invoke-Expression
0,14,-1.1085503501817584e-06,61,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,Invoke-Expression
0,30,-1.6815022263472201e-06,61,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,Invoke-Expression
0,22,0.0006498707225546241,62,583.ps1,2019__seed_8308722f08a5__invoke_expression_format_string.ps1,Invoke-Expression
0,31,-1.3802672112900316e-12,62,583.ps1,2019__seed_8308722f08a5__invoke_expression_format_string.ps1,Invoke-Expression
0,29,-6.57756231703388e-08,62,583.ps1,2019__seed_8308722f08a5__invoke_expression_format_string.ps1,Invoke-Expression
0,14,-1.1085503501817584e-06,62,583.ps1,2019__seed_8308722f08a5__invoke_expression_format_string.ps1,Invoke-Expression
0,30,-1.6815022263472201e-06,62,583.ps1,2019__seed_8308722f08a5__invoke_expression_format_string.ps1,Invoke-Expression
0,22,0.0006498707225546241,65,489.ps1,2019__seed_a182289ca98a__invoke_expression_format_string.ps1,Invoke-Expression
0,31,-1.3802672112900316e-12,65,489.ps1,2019__seed_a182289ca98a__invoke_expression_format_string.ps1,Invoke-Expression
0,29,-6.57756231703388e-08,65,489.ps1,2019__seed_a182289ca98a__invoke_expression_format_string.ps1,Invoke-Expression
0,14,-1.1085503501817584e-06,65,489.ps1,2019__seed_a182289ca98a__invoke_expression_format_string.ps1,Invoke-Expression
0,30,-1.6815022263472201e-06,65,489.ps1,2019__seed_a182289ca98a__invoke_expression_format_string.ps1,Invoke-Expression
0,22,0.0006498707225546241,66,485.ps1,2019__seed_4916dd4c361c__invoke_expression_format_string.ps1,Invoke-Expression
0,31,-1.3802672112900316e-12,66,485.ps1,2019__seed_4916dd4c361c__invoke_expression_format_string.ps1,Invoke-Expression
0,29,-6.57756231703388e-08,66,485.ps1,2019__seed_4916dd4c361c__invoke_expression_format_string.ps1,Invoke-Expression
0,14,-1.1085503501817584e-06,66,485.ps1,2019__seed_4916dd4c361c__invoke_expression_format_string.ps1,Invoke-Expression
0,30,-1.6815022263472201e-06,66,485.ps1,2019__seed_4916dd4c361c__invoke_expression_format_string.ps1,Invoke-Expression
