pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,0,2540,0.0003474022960290313,-5.224125925451517e-05,-0.00039964355528354645
61,0,1068,0.00027571996906772256,-7.698818808421493e-05,-0.0003527081571519375
61,0,7183,0.00022893305867910385,-0.0003179023042321205,-0.0005468353629112244
61,0,3675,0.00021593738347291946,0.000422139884904027,0.00020620250143110752
61,0,10931,0.00021508429199457169,-0.00043889228254556656,-0.0006539765745401382
61,0,3896,0.0001947358250617981,0.0008541122078895569,0.0006593763828277588
61,0,3101,0.0001939252542797476,-2.9988441383466125e-05,-0.00022391369566321373
61,0,10925,0.00019372731912881136,0.0005215364508330822,0.00032780913170427084
61,0,8523,0.00018712063319981098,3.435125108808279e-05,-0.0001527693821117282
61,0,5917,0.00018375689978711307,0.00023991521447896957,5.6158314691856503e-05
61,0,8230,0.00018342846306040883,-9.123788913711905e-05,-0.0002746663521975279
61,0,5766,0.00018079450819641352,-0.00022435944993048906,-0.0004051539581269026
61,0,2898,0.00017912767361849546,6.11237483099103e-05,-0.00011800392530858517
61,0,744,0.00017869897419586778,-0.0002080682315863669,-0.00038676720578223467
61,0,6574,0.00017719369498081505,4.544170224107802e-05,-0.00013175199273973703
61,0,12449,0.00017573079094290733,-0.0006277132779359818,-0.0008034440688788891
61,0,3247,0.00017408374696969986,-0.0005543287843465805,-0.0007284125313162804
61,0,7356,0.00016542617231607437,-0.00041491584852337837,-0.0005803420208394527
61,0,6504,0.0001593813649378717,3.524328349158168e-05,-0.00012413808144629002
61,0,13487,0.00015928992070257664,-0.0005602040328085423,-0.0007194939535111189
61,0,10566,-0.0007001873455010355,1.759320730343461e-05,0.0007177805528044701
61,0,11112,-0.0003422033041715622,0.0003761837724596262,0.0007183870766311884
61,0,5853,-0.00026018370408564806,0.00016878184396773577,0.00042896554805338383
61,0,11579,-0.0002503202995285392,-0.00023539329413324594,1.492701267125085e-05
61,0,4533,-0.00023557736130896956,-2.436702197883278e-05,0.00021121033933013678
61,0,4685,-0.00023312121629714966,-0.0007589487358927727,-0.000525827519595623
61,0,8986,-0.00022706855088472366,0.00010064896196126938,0.00032771751284599304
61,0,10898,-0.0002122723963111639,0.00024045794270932674,0.00045273033902049065
61,0,258,-0.00021052814554423094,0.0003130593104287982,0.0005235874559730291
61,0,1822,-0.0001941177761182189,-0.00015181093476712704,4.230684135109186e-05
61,0,10416,-0.0001915465109050274,0.00018009869381785393,0.0003716452047228813
61,0,4478,-0.00018191873095929623,0.0003235240001231432,0.0005054427310824394
61,0,8241,-0.00018184608779847622,9.387126192450523e-05,0.00027571734972298145
61,0,4786,-0.00017831800505518913,-0.0004326940979808569,-0.00025437609292566776
61,0,13831,-0.0001782806357368827,-0.00034085242077708244,-0.00016257178504019976
61,0,11795,-0.00016746274195611477,0.0003652444574981928,0.0005327071994543076
61,0,11653,-0.00016454690194223076,4.0949424146674573e-05,0.00020549632608890533
61,0,754,-0.00016151228919625282,0.0002980893477797508,0.00045960163697600365
61,0,11528,-0.00014900509268045425,-0.0008948869071900845,-0.0007458818145096302
61,0,12406,-0.0001487148692831397,-4.825147334486246e-05,0.00010046339593827724
61,1,9410,0.001487094210460782,-0.0002932834904640913,-0.0017803777009248734
61,1,7598,0.0011685509234666824,0.006784524768590927,0.005615973845124245
61,1,12638,0.000879545696079731,0.0014839088544249535,0.0006043631583452225
61,1,6720,0.0006648646667599678,0.0007904320955276489,0.00012556742876768112
61,1,486,0.0005887812003493309,0.0015837913379073143,0.0009950101375579834
61,1,12835,0.00049183564260602,0.0006294967606663704,0.00013766111806035042
61,1,8090,0.0004918351769447327,0.0011257976293563843,0.0006339624524116516
61,1,6935,0.00048381928354501724,0.0012029241770505905,0.0007191048935055733
61,1,8960,0.0004651580238714814,0.0009067929349839687,0.0004416349111124873
61,1,8540,0.00044926838018000126,0.00025345152243971825,-0.000195816857740283
61,1,3240,0.00044325983617454767,0.0005934750661253929,0.00015021522995084524
61,1,1950,0.00042908010073006153,0.0004771910607814789,4.811096005141735e-05
61,1,3988,0.000428962055593729,0.0006017871201038361,0.00017282506451010704
61,1,14106,0.00042432802729308605,0.0005899579264223576,0.0001656298991292715
61,1,11726,0.0004177163355052471,0.0006958693265914917,0.0002781529910862446
61,1,8375,0.00041582435369491577,-0.00045875459909439087,-0.0008745789527893066
61,1,14064,0.0003882497549057007,0.0007942942902445793,0.00040604453533887863
61,1,4798,0.0003759516403079033,-0.0002789897844195366,-0.0006549414247274399
61,1,4023,0.0003717479412443936,0.00034255441278219223,-2.9193543014116585e-05
61,1,12061,0.00034769438207149506,-0.0009787697345018387,-0.0013264641165733337
61,1,4895,-0.00546187162399292,-0.015258416533470154,-0.009796544909477234
61,1,14040,-0.0009226403199136257,0.0008630617521703243,0.00178570207208395
61,1,13601,-0.0007887789979577065,-0.001306554302573204,-0.0005177753046154976
61,1,3878,-0.0007831798866391182,-0.0016307467594742775,-0.0008475668728351593
61,1,9334,-0.0006855287356302142,-0.0007501873187720776,-6.46586122456938e-05
61,1,6073,-0.0006640353240072727,-0.0010736994445323944,-0.0004096641205251217
61,1,9578,-0.0005686464719474316,8.922116830945015e-05,0.0006578676402568817
61,1,5344,-0.0005452884361147881,-0.0007817670702934265,-0.00023647863417863846
61,1,13550,-0.00046377419494092464,-0.0006451401859521866,-0.00018136599101126194
61,1,6446,-0.00044572632759809494,-0.0007505156099796295,-0.0003047892823815346
61,1,6727,-0.000444368168246001,9.599077748134732e-05,0.0005403589457273483
61,1,7857,-0.00044220127165317535,-0.0011614710092544556,-0.0007192697376012802
61,1,5223,-0.0004309786017984152,-0.0008154460228979588,-0.00038446742109954357
61,1,6434,-0.0004300922155380249,-0.0008865674026310444,-0.0004564751870930195
61,1,2321,-0.00041794637218117714,-0.0008129286579787731,-0.000394982285797596
61,1,7706,-0.0004125094274058938,-0.0005622114986181259,-0.0001497020712122321
61,1,2775,-0.00040885666385293007,-0.0005955509841442108,-0.00018669432029128075
61,1,11399,-0.0003929552622139454,0.00021647196263074875,0.0006094272248446941
61,1,5876,-0.00039245281368494034,-0.0007829759269952774,-0.00039052311331033707
61,1,11348,-0.00039084465242922306,-0.0006431099027395248,-0.0002522652503103018
61,2,8918,0.0009241299703717232,-0.0010217847302556038,-0.001945914700627327
61,2,10776,0.0009119948372244835,0.0013363314792513847,0.00042433664202690125
61,2,12515,0.0008708619279786944,0.0010063853114843369,0.00013552338350564241
61,2,6605,0.0008227506186813116,0.0010813530534505844,0.0002586024347692728
61,2,13567,0.0008087470196187496,-0.000248961616307497,-0.0010577086359262466
61,2,5644,0.0007549803704023361,-0.0006350087933242321,-0.0013899891637265682
61,2,2074,0.0007153255864977837,-0.0008768821135163307,-0.0015922077000141144
61,2,11217,0.0007083993405103683,0.0008218288421630859,0.00011342950165271759
61,2,4256,0.0006629640702158213,0.00025172531604766846,-0.0004112387541681528
61,2,6614,0.0006329761818051338,-0.0010979650542140007,-0.0017309412360191345
61,2,8414,0.0006293486803770065,-0.0011318391188979149,-0.0017611877992749214
61,2,7668,0.0005749231204390526,0.0021012676879763603,0.0015263445675373077
61,2,5470,0.0005539071280509233,-0.0005192586686462164,-0.0010731657966971397
61,2,5602,0.000551280565559864,0.0005473559722304344,-3.924582415493205e-06
61,2,4401,0.0005463548004627228,0.0008510705083608627,0.00030471570789813995
61,2,4311,0.0005433075129985809,0.0010720249265432358,0.0005287174135446548
61,2,7043,0.0005415411433205009,0.000783674418926239,0.00024213327560573816
