layer,neuron,pair_count,mean_contribution_delta,max_contribution_delta,mean_malicious_contribution,mean_activation_delta
0,13487,2,0.00045418739318847656,0.0005741119384765625,-0.0005602836608886719,-0.03350830078125
0,2540,3,0.00036223729451497394,0.0005140304565429688,-5.221366882324219e-05,0.01662445068359375
0,10931,3,0.000326236089070638,0.0004329681396484375,-0.00043892860412597656,-0.016545613606770832
0,1068,3,0.00028967857360839844,0.0003154277801513672,-7.700920104980469e-05,0.029825846354166668
0,3675,2,0.00027126073837280273,0.0003266334533691406,0.0004222393035888672,-0.01403045654296875
0,7356,2,0.0002644658088684082,0.00029468536376953125,-0.00041484832763671875,-0.01195526123046875
0,3101,3,0.00026023387908935547,0.0003566741943359375,-2.9981136322021484e-05,0.009061177571614584
0,7183,2,0.00024759769439697266,0.0002663135528564453,-0.0003178119659423828,-0.0139312744140625
0,3247,1,0.00023937225341796875,0.00023937225341796875,-0.0005545616149902344,-0.0101318359375
0,8523,3,0.00023563702901204428,0.0002872943878173828,3.4332275390625e-05,0.014391581217447916
0,6574,1,0.0002346038818359375,0.0002346038818359375,4.5418739318847656e-05,0.00772857666015625
0,3325,1,0.0002244710922241211,0.0002244710922241211,3.439188003540039e-05,0.01194000244140625
0,5917,2,0.0002086162567138672,0.00023353099822998047,0.00023996829986572266,-0.0069255828857421875
0,3896,1,0.00019478797912597656,0.00019478797912597656,0.0008540153503417969,-0.0067596435546875
0,10925,1,0.00019371509552001953,0.00019371509552001953,0.0005216598510742188,0.00919342041015625
1,7598,1,0.0011682510375976562,0.0011682510375976562,0.006786346435546875,0.090576171875
1,9410,3,0.0008216698964436849,0.00148773193359375,-0.0002932548522949219,0.06911214192708333
1,12638,2,0.0007951259613037109,0.0008797645568847656,0.001483917236328125,0.0233612060546875
1,486,1,0.0005888938903808594,0.0005888938903808594,0.0015840530395507812,0.0716552734375
1,4301,2,0.0004955530166625977,0.0006113052368164062,-0.0005736351013183594,0.01483154296875
1,12835,1,0.0004916191101074219,0.0004916191101074219,0.000629425048828125,0.01702880859375
1,8960,1,0.00046515464782714844,0.00046515464782714844,0.0009069442749023438,-0.01538848876953125
1,6720,3,0.00045108795166015625,0.0006651878356933594,0.0007905960083007812,0.008967081705729166
1,8540,1,0.00044918060302734375,0.00044918060302734375,0.00025343894958496094,-0.019439697265625
1,5966,2,0.0003966093063354492,0.0004343986511230469,-0.000640869140625,0.01171875
1,8090,2,0.00039637088775634766,0.0004916191101074219,0.001125335693359375,-0.012939453125
1,6935,3,0.000375668207804362,0.0004837512969970703,0.0012025833129882812,0.021636962890625
1,9267,1,0.00037097930908203125,0.00037097930908203125,-0.0013370513916015625,0.009185791015625
1,255,2,0.0003701448440551758,0.0003814697265625,0.0014209747314453125,-0.01012420654296875
1,11675,2,0.0003358125686645508,0.00036215782165527344,0.0007386207580566406,0.01255035400390625
1,5091,2,0.0003104209899902344,0.0003521442413330078,9.876489639282227e-05,0.010265350341796875
1,5573,1,0.00030541419982910156,0.00030541419982910156,0.0006747245788574219,-0.0149993896484375
2,8918,3,0.0009428660074869791,0.0010461807250976562,-0.0010213851928710938,-0.08013916015625
2,10813,1,0.0008792877197265625,0.0008792877197265625,-0.0007734298706054688,-0.0192108154296875
2,12515,1,0.0008707046508789062,0.0008707046508789062,0.0010061264038085938,0.02374267578125
2,6605,1,0.0008230209350585938,0.0008230209350585938,0.0010814666748046875,0.022735595703125
2,2074,1,0.0007152557373046875,0.0007152557373046875,-0.0008769035339355469,0.04486083984375
2,13567,3,0.0007014274597167969,0.0008087158203125,-0.00024890899658203125,-0.06368001302083333
2,11217,3,0.0006917317708333334,0.0007410049438476562,0.0008220672607421875,0.019724527994791668
2,5644,2,0.0006575584411621094,0.0007548332214355469,-0.0006351470947265625,0.0262603759765625
2,6614,1,0.0006327629089355469,0.0006327629089355469,-0.0010976791381835938,-0.02874755859375
2,10776,3,0.0006285508473714193,0.0009121894836425781,0.0013360977172851562,0.023325602213541668
2,4256,2,0.0005817413330078125,0.0006628036499023438,0.00025177001953125,0.02031707763671875
2,3666,1,0.0005755424499511719,0.0005755424499511719,0.0015506744384765625,0.01922607421875
2,5470,1,0.0005321502685546875,0.0005321502685546875,-0.0005192756652832031,-0.0173492431640625
2,14264,1,0.0005083084106445312,0.0005083084106445312,0.0003292560577392578,0.023651123046875
2,7668,1,0.0004992485046386719,0.0004992485046386719,0.002101898193359375,0.017974853515625
2,12426,1,0.0004887580871582031,0.0004887580871582031,0.0005540847778320312,-0.0151519775390625
2,6217,1,0.00048804283142089844,0.00048804283142089844,0.0014848709106445312,-0.0116729736328125
2,14180,1,0.00047087669372558594,0.00047087669372558594,-0.000789642333984375,0.0182342529296875
2,9943,1,0.0004172325134277344,0.0004172325134277344,0.0003154277801513672,-0.01116180419921875
2,4497,1,0.0004057884216308594,0.0004057884216308594,0.00033974647521972656,0.008636474609375
3,9171,1,0.0016040802001953125,0.0016040802001953125,0.01305389404296875,0.05224609375
3,9480,3,0.001598358154296875,0.0019054412841796875,0.0026836395263671875,-0.08929443359375
3,13551,2,0.0015454292297363281,0.00203704833984375,0.00604248046875,-0.04278564453125
3,10777,2,0.0013346672058105469,0.0013628005981445312,0.00021779537200927734,-0.084747314453125
3,3813,1,0.0011892318725585938,0.0011892318725585938,0.000354766845703125,0.058197021484375
3,11523,2,0.0010712146759033203,0.0012865066528320312,0.0020160675048828125,-0.042236328125
3,8982,3,0.001037915547688802,0.0011053085327148438,-0.0013093948364257812,0.032053629557291664
3,4272,1,0.00103759765625,0.00103759765625,-0.0006608963012695312,0.0303955078125
3,12874,3,0.0009868939717610676,0.0011682510375976562,0.0019016265869140625,-0.049001057942708336
3,6056,2,0.0009634494781494141,0.0010499954223632812,0.0018606185913085938,0.042694091796875
3,8315,2,0.0009126663208007812,0.0010700225830078125,0.0008406639099121094,0.03863525390625
3,7114,1,0.0009036064147949219,0.0009036064147949219,-0.0013170242309570312,-0.06585693359375
3,11069,1,0.0008826255798339844,0.0008826255798339844,0.0010099411010742188,-0.030670166015625
3,5672,1,0.0008344650268554688,0.0008344650268554688,0.00020754337310791016,0.0172119140625
3,7870,1,0.0007915496826171875,0.0007915496826171875,0.0010843276977539062,-0.0325927734375
3,12398,1,0.0007915496826171875,0.0007915496826171875,0.0007004737854003906,-0.0986328125
3,3515,1,0.0007486343383789062,0.0007486343383789062,0.0011005401611328125,0.038818359375
3,11868,2,0.0007486343383789062,0.0007562637329101562,-0.0009226799011230469,0.02349853515625
4,10307,3,0.002308527628580729,0.002422332763671875,0.001605987548828125,-0.22025553385416666
4,11874,1,0.00205230712890625,0.00205230712890625,-0.001789093017578125,-0.082763671875
4,6825,3,0.0019642512003580728,0.002353668212890625,0.0016431808471679688,0.046142578125
4,8381,2,0.0018925666809082031,0.0021762847900390625,-0.015869140625,-0.13671875
4,6892,2,0.001445770263671875,0.0018291473388671875,-0.00044465065002441406,0.084747314453125
4,155,3,0.001308441162109375,0.001377105712890625,-0.0010547637939453125,-0.039052327473958336
4,2969,1,0.0012731552124023438,0.0012731552124023438,0.0023975372314453125,-0.031829833984375
4,6256,3,0.0012235641479492188,0.0012760162353515625,0.0019741058349609375,0.037160237630208336
4,2387,1,0.0012159347534179688,0.0012159347534179688,0.001308441162109375,0.034454345703125
4,7818,1,0.0011577606201171875,0.0011577606201171875,-0.0011749267578125,-0.04022216796875
4,6513,2,0.0011391639709472656,0.0011968612670898438,0.0005135536193847656,0.04925537109375
4,2127,1,0.0010976791381835938,0.0010976791381835938,0.001964569091796875,-0.047393798828125
4,6747,2,0.00102996826171875,0.001110076904296875,0.0010900497436523438,-0.02713775634765625
4,5899,1,0.0009813308715820312,0.0009813308715820312,0.0002808570861816406,0.036956787109375
4,2391,2,0.0009508132934570312,0.0010051727294921875,0.0017175674438476562,-0.035400390625
4,2621,1,0.0009446144104003906,0.0009446144104003906,-0.0003590583801269531,0.072265625
4,7222,1,0.0009417533874511719,0.0009417533874511719,0.0011081695556640625,0.0291900634765625
5,171,1,0.00215911865234375,0.00215911865234375,0.007076263427734375,0.236328125
5,10256,1,0.0018358230590820312,0.0018358230590820312,-0.00238800048828125,0.08056640625
5,11419,1,0.0015764236450195312,0.0015764236450195312,0.0015850067138671875,-0.0467529296875
5,3171,3,0.0014108022054036458,0.0014286041259765625,-0.0008759498596191406,0.035746256510416664
5,9581,1,0.001392364501953125,0.001392364501953125,0.004482269287109375,0.04595947265625
5,12100,3,0.0013602574666341145,0.002017974853515625,-0.0036563873291015625,0.042256673177083336
5,3102,2,0.0013575553894042969,0.001667022705078125,-0.000537872314453125,-0.049407958984375
5,12513,3,0.001262982686360677,0.0014190673828125,0.00079345703125,0.060282389322916664
5,8241,1,0.0012273788452148438,0.0012273788452148438,0.00469970703125,-0.048095703125
5,6039,1,0.0012073516845703125,0.0012073516845703125,0.0017709732055664062,0.045745849609375
5,1368,1,0.0011377334594726562,0.0011377334594726562,0.0014352798461914062,0.04571533203125
5,14042,2,0.0011339187622070312,0.0011663436889648438,0.002170562744140625,0.086883544921875
5,5936,1,0.0011119842529296875,0.0011119842529296875,0.0027103424072265625,-0.05657958984375
5,643,2,0.0010905265808105469,0.0012025833129882812,0.001682281494140625,-0.02924346923828125
5,9253,2,0.0010743141174316406,0.0011358261108398438,0.00238037109375,0.0493316650390625
5,10185,2,0.001064300537109375,0.0010967254638671875,0.0031528472900390625,0.028045654296875
5,10724,1,0.0010404586791992188,0.0010404586791992188,0.0003151893615722656,0.042327880859375
5,12050,1,0.0009646415710449219,0.0009646415710449219,-0.00177001953125,-0.03619384765625
