layer,head,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
0,11,1.453125,0.703125,-0.75,-51.61290322580645,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,15,1.453125,1.234375,-0.21875,-15.053763440860216,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,5,1.453125,1.53125,0.078125,5.376344086021505,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,4,1.453125,1.546875,0.09375,6.451612903225806,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,4,5.171875,3.953125,-1.21875,-23.564954682779458,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
0,11,5.171875,4.5625,-0.609375,-11.782477341389729,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
12,5,5.171875,4.796875,-0.375,-7.250755287009064,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
12,15,5.171875,4.984375,-0.1875,-3.625377643504532,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
12,4,4.734375,3.09375,-1.640625,-34.65346534653465,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
12,5,4.734375,4.390625,-0.34375,-7.2607260726072615,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
12,15,4.734375,4.515625,-0.21875,-4.62046204620462,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
0,11,4.734375,4.9375,0.203125,4.29042904290429,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
12,4,4.734375,3.09375,-1.640625,-34.65346534653465,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
12,5,4.734375,4.390625,-0.34375,-7.2607260726072615,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
12,15,4.734375,4.515625,-0.21875,-4.62046204620462,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
0,11,4.734375,4.9375,0.203125,4.29042904290429,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
12,4,4.734375,3.09375,-1.640625,-34.65346534653465,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
12,5,4.734375,4.390625,-0.34375,-7.2607260726072615,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
12,15,4.734375,4.515625,-0.21875,-4.62046204620462,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
0,11,4.734375,4.9375,0.203125,4.29042904290429,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
12,4,6.46875,4.734375,-1.734375,-26.811594202898554,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
0,11,6.46875,5.15625,-1.3125,-20.28985507246377,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
12,5,6.46875,5.921875,-0.546875,-8.454106280193237,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
12,15,6.46875,6.203125,-0.265625,-4.1062801932367154,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
12,4,5.828125,4.40625,-1.421875,-24.396782841823057,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
12,5,5.828125,5.3125,-0.515625,-8.847184986595174,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
12,15,5.828125,5.609375,-0.21875,-3.753351206434316,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
0,11,5.828125,5.65625,-0.171875,-2.949061662198391,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
12,4,5.828125,4.40625,-1.421875,-24.396782841823057,10,DownloadFile,2670.ps1,1931.ps1,-1.4375,False
12,5,5.828125,5.3125,-0.515625,-8.847184986595174,10,DownloadFile,2670.ps1,1931.ps1,-1.4375,False
12,15,5.828125,5.609375,-0.21875,-3.753351206434316,10,DownloadFile,2670.ps1,1931.ps1,-1.4375,False
0,11,5.828125,5.65625,-0.171875,-2.949061662198391,10,DownloadFile,2670.ps1,1931.ps1,-1.4375,False
12,4,5.828125,4.40625,-1.421875,-24.396782841823057,11,DownloadFile,2670.ps1,3671.ps1,-1.4375,False
12,5,5.828125,5.3125,-0.515625,-8.847184986595174,11,DownloadFile,2670.ps1,3671.ps1,-1.4375,False
12,15,5.828125,5.609375,-0.21875,-3.753351206434316,11,DownloadFile,2670.ps1,3671.ps1,-1.4375,False
0,11,5.828125,5.65625,-0.171875,-2.949061662198391,11,DownloadFile,2670.ps1,3671.ps1,-1.4375,False
12,4,6.921875,4.765625,-2.15625,-31.15124153498871,12,DownloadFile,2670.ps1,2227.ps1,-1.4375,False
12,5,6.921875,6.203125,-0.71875,-10.383747178329571,12,DownloadFile,2670.ps1,2227.ps1,-1.4375,False
12,15,6.921875,6.640625,-0.28125,-4.063205417607223,12,DownloadFile,2670.ps1,2227.ps1,-1.4375,False
0,11,6.921875,7.5625,0.640625,9.255079006772009,12,DownloadFile,2670.ps1,2227.ps1,-1.4375,False
0,11,4.390625,2.8125,-1.578125,-35.94306049822064,13,DownloadFile,2670.ps1,3545.ps1,-1.4375,False
12,4,4.390625,2.828125,-1.5625,-35.587188612099645,13,DownloadFile,2670.ps1,3545.ps1,-1.4375,False
12,5,4.390625,4.03125,-0.359375,-8.185053380782918,13,DownloadFile,2670.ps1,3545.ps1,-1.4375,False
12,15,4.390625,4.1875,-0.203125,-4.6263345195729535,13,DownloadFile,2670.ps1,3545.ps1,-1.4375,False
12,4,5.515625,4.015625,-1.5,-27.19546742209632,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
12,5,5.515625,5.234375,-0.28125,-5.099150141643059,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
12,15,5.515625,5.3125,-0.203125,-3.6827195467422094,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
0,11,5.515625,5.5,-0.015625,-0.28328611898017,14,DownloadFile,2670.ps1,1946.ps1,-1.4375,False
12,4,1.75,1.046875,-0.703125,-40.17857142857143,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
0,11,1.75,1.171875,-0.578125,-33.035714285714285,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
12,15,1.75,1.578125,-0.171875,-9.821428571428571,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
12,5,1.75,2.0,0.25,14.285714285714285,15,DownloadFile,2670.ps1,3426.ps1,-1.4375,False
12,4,7.484375,6.15625,-1.328125,-17.745302713987474,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
12,5,7.484375,6.9375,-0.546875,-7.306889352818372,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
0,11,7.484375,7.203125,-0.28125,-3.7578288100208765,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
12,15,7.484375,7.328125,-0.15625,-2.0876826722338206,16,DownloadFile,2670.ps1,1693.ps1,-1.4375,False
