layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,1.453125,0.40625,-1.046875,-72.04301075268818,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
0,11,1.453125,0.734375,-0.71875,-49.46236559139785,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,15,1.453125,0.828125,-0.625,-43.01075268817204,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,5,1.453125,1.15625,-0.296875,-20.43010752688172,3,DownloadFile,2670.ps1,1611.ps1,-1.4375,False
12,4,5.171875,1.859375,-3.3125,-64.04833836858006,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
12,15,5.171875,4.296875,-0.875,-16.91842900302115,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
12,5,5.171875,4.546875,-0.625,-12.084592145015106,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
0,11,5.171875,4.578125,-0.59375,-11.48036253776435,4,DownloadFile,2670.ps1,4030.ps1,-1.4375,False
12,4,4.734375,1.390625,-3.34375,-70.62706270627062,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
0,11,4.734375,2.9375,-1.796875,-37.95379537953795,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
12,15,4.734375,3.640625,-1.09375,-23.1023102310231,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
12,5,4.734375,4.125,-0.609375,-12.871287128712872,5,DownloadFile,2670.ps1,1011.ps1,-1.4375,False
12,4,4.734375,1.390625,-3.34375,-70.62706270627062,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
0,11,4.734375,2.9375,-1.796875,-37.95379537953795,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
12,15,4.734375,3.640625,-1.09375,-23.1023102310231,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
12,5,4.734375,4.125,-0.609375,-12.871287128712872,6,DownloadFile,2670.ps1,2833.ps1,-1.4375,False
12,4,4.734375,1.390625,-3.34375,-70.62706270627062,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
0,11,4.734375,2.9375,-1.796875,-37.95379537953795,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
12,15,4.734375,3.640625,-1.09375,-23.1023102310231,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
12,5,4.734375,4.125,-0.609375,-12.871287128712872,7,DownloadFile,2670.ps1,3414.ps1,-1.4375,False
12,4,6.46875,3.21875,-3.25,-50.24154589371981,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
0,11,6.46875,4.484375,-1.984375,-30.676328502415455,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
12,15,6.46875,5.421875,-1.046875,-16.183574879227052,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
12,5,6.46875,5.65625,-0.8125,-12.560386473429952,8,DownloadFile,2670.ps1,1515.ps1,-1.4375,False
12,4,5.828125,2.671875,-3.15625,-54.15549597855228,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
0,11,5.828125,4.9375,-0.890625,-15.281501340482572,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
12,15,5.828125,4.96875,-0.859375,-14.745308310991955,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
12,5,5.828125,5.296875,-0.53125,-9.115281501340483,9,DownloadFile,2670.ps1,1839.ps1,-1.4375,False
12,4,5.828125,2.671875,-3.15625,-54.15549597855228,10,DownloadFile,2670.ps1,1931.ps1,-1.4375,False
0,11,5.828125,4.9375,-0.890625,-15.281501340482572,10,DownloadFile,2670.ps1,1931.ps1,-1.4375,False
