layer,head,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,15,1.421875,1.234375,-0.1875,-13.186813186813188,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,2,1.421875,1.421875,0.0,0.0,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,5,1.421875,1.515625,0.09375,6.593406593406594,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,4,1.421875,1.546875,0.125,8.791208791208792,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,4,5.15625,3.9375,-1.21875,-23.636363636363637,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,5,5.15625,4.78125,-0.375,-7.2727272727272725,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,2,5.15625,4.828125,-0.328125,-6.363636363636363,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,15,5.15625,4.984375,-0.171875,-3.3333333333333335,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,4,4.734375,3.0625,-1.671875,-35.31353135313531,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,2,4.734375,4.3125,-0.421875,-8.91089108910891,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,5,4.734375,4.359375,-0.375,-7.920792079207921,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,15,4.734375,4.5,-0.234375,-4.9504950495049505,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,4,4.734375,3.0625,-1.671875,-35.31353135313531,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,2,4.734375,4.3125,-0.421875,-8.91089108910891,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,5,4.734375,4.359375,-0.375,-7.920792079207921,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,15,4.734375,4.5,-0.234375,-4.9504950495049505,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,4,4.734375,3.0625,-1.671875,-35.31353135313531,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,2,4.734375,4.3125,-0.421875,-8.91089108910891,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,5,4.734375,4.359375,-0.375,-7.920792079207921,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,15,4.734375,4.5,-0.234375,-4.9504950495049505,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,4,6.453125,4.734375,-1.71875,-26.634382566585955,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,5,6.453125,5.90625,-0.546875,-8.47457627118644,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,2,6.453125,6.078125,-0.375,-5.811138014527845,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,15,6.453125,6.203125,-0.25,-3.87409200968523,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,4,5.8125,4.40625,-1.40625,-24.193548387096776,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,5,5.8125,5.296875,-0.515625,-8.870967741935484,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,2,5.8125,5.5,-0.3125,-5.376344086021505,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,15,5.8125,5.59375,-0.21875,-3.763440860215054,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,4,5.8125,4.40625,-1.40625,-24.193548387096776,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,5,5.8125,5.296875,-0.515625,-8.870967741935484,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,2,5.8125,5.5,-0.3125,-5.376344086021505,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,15,5.8125,5.59375,-0.21875,-3.763440860215054,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,4,5.8125,4.40625,-1.40625,-24.193548387096776,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,5,5.8125,5.296875,-0.515625,-8.870967741935484,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,2,5.8125,5.5,-0.3125,-5.376344086021505,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,15,5.8125,5.59375,-0.21875,-3.763440860215054,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,4,6.921875,4.765625,-2.15625,-31.15124153498871,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,5,6.921875,6.21875,-0.703125,-10.15801354401806,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,2,6.921875,6.546875,-0.375,-5.417607223476298,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,15,6.921875,6.640625,-0.28125,-4.063205417607223,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,4,4.390625,2.8125,-1.578125,-35.94306049822064,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,5,4.390625,4.015625,-0.375,-8.540925266903916,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,2,4.390625,4.09375,-0.296875,-6.761565836298933,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,15,4.390625,4.171875,-0.21875,-4.98220640569395,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,4,5.5,4.015625,-1.484375,-26.988636363636363,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,2,5.5,5.109375,-0.390625,-7.1022727272727275,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,5,5.5,5.21875,-0.28125,-5.113636363636364,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,15,5.5,5.328125,-0.171875,-3.125,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,4,1.765625,1.0625,-0.703125,-39.823008849557525,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,15,1.765625,1.59375,-0.171875,-9.734513274336283,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,2,1.765625,1.640625,-0.125,-7.079646017699115,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,5,1.765625,2.0,0.234375,13.274336283185843,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,4,7.484375,6.15625,-1.328125,-17.745302713987474,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,5,7.484375,6.9375,-0.546875,-7.306889352818372,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,2,7.484375,7.09375,-0.390625,-5.219206680584551,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,15,7.484375,7.3125,-0.171875,-2.2964509394572024,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,4,5.921875,4.21875,-1.703125,-28.759894459102902,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,2,5.921875,5.390625,-0.53125,-8.970976253298153,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,15,5.921875,5.484375,-0.4375,-7.387862796833773,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,5,5.921875,5.515625,-0.40625,-6.860158311345646,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,4,5.296875,4.390625,-0.90625,-17.10914454277286,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
12,5,5.296875,4.96875,-0.328125,-6.1946902654867255,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
