layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,1.421875,0.40625,-1.015625,-71.42857142857143,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
0,11,1.421875,0.71875,-0.703125,-49.45054945054945,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,15,1.421875,0.84375,-0.578125,-40.65934065934066,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,28,1.421875,1.03125,-0.390625,-27.472527472527474,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,5,1.421875,1.140625,-0.28125,-19.78021978021978,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,2,1.421875,1.5,0.078125,5.4945054945054945,3,DownloadFile,2670.ps1,1611.ps1,-1.453125,False
12,4,5.15625,1.859375,-3.296875,-63.93939393939394,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,15,5.15625,4.296875,-0.859375,-16.666666666666664,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,5,5.15625,4.546875,-0.609375,-11.818181818181818,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
0,11,5.15625,4.59375,-0.5625,-10.909090909090908,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,2,5.15625,4.78125,-0.375,-7.2727272727272725,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,28,5.15625,5.015625,-0.140625,-2.727272727272727,4,DownloadFile,2670.ps1,4030.ps1,-1.453125,False
12,4,4.734375,1.390625,-3.34375,-70.62706270627062,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
0,11,4.734375,2.9375,-1.796875,-37.95379537953795,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,15,4.734375,3.65625,-1.078125,-22.772277227722775,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,28,4.734375,3.65625,-1.078125,-22.772277227722775,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,5,4.734375,4.109375,-0.625,-13.2013201320132,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,2,4.734375,4.53125,-0.203125,-4.29042904290429,5,DownloadFile,2670.ps1,1011.ps1,-1.453125,False
12,4,4.734375,1.390625,-3.34375,-70.62706270627062,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
0,11,4.734375,2.9375,-1.796875,-37.95379537953795,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,15,4.734375,3.65625,-1.078125,-22.772277227722775,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,28,4.734375,3.65625,-1.078125,-22.772277227722775,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,5,4.734375,4.109375,-0.625,-13.2013201320132,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,2,4.734375,4.53125,-0.203125,-4.29042904290429,6,DownloadFile,2670.ps1,2833.ps1,-1.453125,False
12,4,4.734375,1.390625,-3.34375,-70.62706270627062,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
0,11,4.734375,2.9375,-1.796875,-37.95379537953795,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,15,4.734375,3.65625,-1.078125,-22.772277227722775,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,28,4.734375,3.65625,-1.078125,-22.772277227722775,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,5,4.734375,4.109375,-0.625,-13.2013201320132,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,2,4.734375,4.53125,-0.203125,-4.29042904290429,7,DownloadFile,2670.ps1,3414.ps1,-1.453125,False
12,4,6.453125,3.21875,-3.234375,-50.12106537530266,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
0,11,6.453125,4.46875,-1.984375,-30.750605326876514,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,15,6.453125,5.421875,-1.03125,-15.980629539951574,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,28,6.453125,5.5,-0.953125,-14.769975786924938,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,5,6.453125,5.640625,-0.8125,-12.590799031477,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,2,6.453125,6.3125,-0.140625,-2.1791767554479415,8,DownloadFile,2670.ps1,1515.ps1,-1.453125,False
12,4,5.8125,2.703125,-3.109375,-53.494623655913976,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
0,11,5.8125,4.9375,-0.875,-15.053763440860216,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,15,5.8125,4.96875,-0.84375,-14.516129032258066,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,5,5.8125,5.28125,-0.53125,-9.13978494623656,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,28,5.8125,5.453125,-0.359375,-6.182795698924731,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,2,5.8125,5.75,-0.0625,-1.0752688172043012,9,DownloadFile,2670.ps1,1839.ps1,-1.453125,False
12,4,5.8125,2.703125,-3.109375,-53.494623655913976,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
0,11,5.8125,4.9375,-0.875,-15.053763440860216,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,15,5.8125,4.96875,-0.84375,-14.516129032258066,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,5,5.8125,5.28125,-0.53125,-9.13978494623656,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,28,5.8125,5.453125,-0.359375,-6.182795698924731,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,2,5.8125,5.75,-0.0625,-1.0752688172043012,10,DownloadFile,2670.ps1,1931.ps1,-1.453125,False
12,4,5.8125,2.703125,-3.109375,-53.494623655913976,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
0,11,5.8125,4.9375,-0.875,-15.053763440860216,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,15,5.8125,4.96875,-0.84375,-14.516129032258066,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,5,5.8125,5.28125,-0.53125,-9.13978494623656,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,28,5.8125,5.453125,-0.359375,-6.182795698924731,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,2,5.8125,5.75,-0.0625,-1.0752688172043012,11,DownloadFile,2670.ps1,3671.ps1,-1.453125,False
12,4,6.921875,2.96875,-3.953125,-57.11060948081265,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,15,6.921875,5.71875,-1.203125,-17.381489841986454,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,28,6.921875,5.890625,-1.03125,-14.89841986455982,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,5,6.921875,6.125,-0.796875,-11.512415349887133,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
0,11,6.921875,6.171875,-0.75,-10.835214446952596,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,2,6.921875,6.78125,-0.140625,-2.0316027088036117,12,DownloadFile,2670.ps1,2227.ps1,-1.453125,False
12,4,4.390625,1.34375,-3.046875,-69.3950177935943,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,15,4.390625,3.484375,-0.90625,-20.640569395017792,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
0,11,4.390625,3.734375,-0.65625,-14.94661921708185,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,5,4.390625,3.75,-0.640625,-14.590747330960854,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,28,4.390625,4.0625,-0.328125,-7.473309608540925,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,2,4.390625,4.203125,-0.1875,-4.270462633451958,13,DownloadFile,2670.ps1,3545.ps1,-1.453125,False
12,4,5.5,2.65625,-2.84375,-51.70454545454546,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,28,5.5,4.703125,-0.796875,-14.488636363636365,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,5,5.5,4.859375,-0.640625,-11.647727272727272,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,15,5.5,4.890625,-0.609375,-11.079545454545455,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
0,11,5.5,5.25,-0.25,-4.545454545454546,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,2,5.5,5.265625,-0.234375,-4.261363636363636,14,DownloadFile,2670.ps1,1946.ps1,-1.453125,False
12,4,1.765625,0.171875,-1.59375,-90.2654867256637,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,15,1.765625,1.1875,-0.578125,-32.743362831858406,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
0,11,1.765625,1.3125,-0.453125,-25.663716814159294,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,5,1.765625,1.46875,-0.296875,-16.8141592920354,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,2,1.765625,1.5,-0.265625,-15.04424778761062,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,28,1.765625,1.859375,0.09375,5.3097345132743365,15,DownloadFile,2670.ps1,3426.ps1,-1.453125,False
12,4,7.484375,4.0625,-3.421875,-45.72025052192067,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,15,7.484375,6.609375,-0.875,-11.691022964509393,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
0,11,7.484375,6.75,-0.734375,-9.812108559498958,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,5,7.484375,6.765625,-0.71875,-9.603340292275574,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,28,7.484375,6.84375,-0.640625,-8.559498956158663,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,2,7.484375,7.171875,-0.3125,-4.175365344467641,16,DownloadFile,2670.ps1,1693.ps1,-1.453125,False
12,4,5.921875,2.5,-3.421875,-57.78364116094987,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,15,5.921875,4.453125,-1.46875,-24.80211081794195,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,28,5.921875,4.546875,-1.375,-23.218997361477573,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
0,11,5.921875,4.75,-1.171875,-19.788918205804748,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,5,5.921875,5.3125,-0.609375,-10.29023746701847,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,2,5.921875,5.640625,-0.28125,-4.749340369393139,17,DownloadFile,2670.ps1,179.ps1,-1.453125,False
12,4,5.296875,2.390625,-2.90625,-54.86725663716814,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
12,15,5.296875,4.640625,-0.65625,-12.389380530973451,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
12,5,5.296875,4.671875,-0.625,-11.799410029498524,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
12,2,5.296875,4.890625,-0.40625,-7.669616519174041,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
0,11,5.296875,5.0,-0.296875,-5.604719764011799,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
12,28,5.296875,5.09375,-0.203125,-3.8348082595870205,18,DownloadFile,2670.ps1,2294.ps1,-1.453125,False
12,4,3.328125,0.875,-2.453125,-73.70892018779342,19,DownloadFile,2670.ps1,2713.ps1,-1.453125,False
0,11,3.328125,2.359375,-0.96875,-29.107981220657276,19,DownloadFile,2670.ps1,2713.ps1,-1.453125,False
12,15,3.328125,2.40625,-0.921875,-27.699530516431924,19,DownloadFile,2670.ps1,2713.ps1,-1.453125,False
12,5,3.328125,2.75,-0.578125,-17.370892018779344,19,DownloadFile,2670.ps1,2713.ps1,-1.453125,False
12,2,3.328125,3.125,-0.203125,-6.103286384976526,19,DownloadFile,2670.ps1,2713.ps1,-1.453125,False
12,28,3.328125,3.125,-0.203125,-6.103286384976526,19,DownloadFile,2670.ps1,2713.ps1,-1.453125,False
12,4,2.46875,0.5625,-1.90625,-77.21518987341773,20,DownloadFile,2670.ps1,2920.ps1,-1.453125,False
0,11,2.46875,1.5625,-0.90625,-36.708860759493675,20,DownloadFile,2670.ps1,2920.ps1,-1.453125,False
12,15,2.46875,1.609375,-0.859375,-34.810126582278485,20,DownloadFile,2670.ps1,2920.ps1,-1.453125,False
12,5,2.46875,1.984375,-0.484375,-19.62025316455696,20,DownloadFile,2670.ps1,2920.ps1,-1.453125,False
12,28,2.46875,2.25,-0.21875,-8.860759493670885,20,DownloadFile,2670.ps1,2920.ps1,-1.453125,False
12,2,2.46875,2.421875,-0.046875,-1.89873417721519,20,DownloadFile,2670.ps1,2920.ps1,-1.453125,False
12,4,7.5,3.6875,-3.8125,-50.83333333333333,21,DownloadFile,2670.ps1,1399.ps1,-1.453125,False
12,15,7.5,6.078125,-1.421875,-18.958333333333332,21,DownloadFile,2670.ps1,1399.ps1,-1.453125,False
12,28,7.5,6.140625,-1.359375,-18.125,21,DownloadFile,2670.ps1,1399.ps1,-1.453125,False
0,11,7.5,6.625,-0.875,-11.666666666666666,21,DownloadFile,2670.ps1,1399.ps1,-1.453125,False
12,5,7.5,6.859375,-0.640625,-8.541666666666666,21,DownloadFile,2670.ps1,1399.ps1,-1.453125,False
12,2,7.5,7.34375,-0.15625,-2.083333333333333,21,DownloadFile,2670.ps1,1399.ps1,-1.453125,False
