trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,0,0,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0036602020263671875,-0.0033893585205078125,0.000270843505859375
13,pre,mean_delta,0,1,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.00348663330078125,-0.00397491455078125,-0.00048828125
13,pre,mean_delta,0,2,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.0029315948486328125,0.002956390380859375,2.47955322265625e-05
13,pre,mean_delta,0,3,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.001972198486328125,-0.00202178955078125,-4.9591064453125e-05
13,pre,mean_delta,0,4,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0028057098388671875,-0.0029239654541015625,-0.000118255615234375
13,pre,mean_delta,0,5,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.0006184577941894531,0.0007219314575195312,0.00010347366333007812
13,pre,mean_delta,0,6,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.00029087066650390625,-0.0004177093505859375,-0.00012683868408203125
13,pre,mean_delta,0,7,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0012226104736328125,-0.0007219314575195312,0.0005006790161132812
13,pre,mean_delta,0,8,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.0006694793701171875,0.000255584716796875,-0.0004138946533203125
13,pre,mean_delta,0,9,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.001522064208984375,-0.001285552978515625,0.00023651123046875
13,pre,mean_delta,0,10,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0005207061767578125,-0.0005841255187988281,-6.341934204101562e-05
13,pre,mean_delta,0,11,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0005397796630859375,0.0003638267517089844,0.0009036064147949219
13,pre,mean_delta,0,12,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.000797271728515625,0.0008530616760253906,5.5789947509765625e-05
13,pre,mean_delta,0,13,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.0009555816650390625,0.0018415451049804688,0.0008859634399414062
13,pre,mean_delta,0,14,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0008721351623535156,-0.0013494491577148438,-0.0004773139953613281
13,pre,mean_delta,0,15,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.00031876564025878906,0.0003085136413574219,-1.0251998901367188e-05
13,pre,mean_delta,0,16,86,Invoke-WebRequest,3784.ps1,1362.ps1,0.0044097900390625,0.00473785400390625,0.00032806396484375
13,pre,mean_delta,0,17,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.00016021728515625,0.00045013427734375,0.0006103515625
13,pre,mean_delta,0,18,86,Invoke-WebRequest,3784.ps1,1362.ps1,-6.699562072753906e-05,-2.8908252716064453e-05,3.808736801147461e-05
13,pre,mean_delta,0,19,86,Invoke-WebRequest,3784.ps1,1362.ps1,3.9458274841308594e-05,-0.0004343986511230469,-0.00047385692596435547
13,pre,mean_delta,0,20,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0039825439453125,-0.00395965576171875,2.288818359375e-05
13,pre,mean_delta,0,21,86,Invoke-WebRequest,3784.ps1,1362.ps1,-0.0004930496215820312,-0.0005011558532714844,-8.106231689453125e-06
