layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,15,3,-0.0023415088653564453,0.12841796875,0.13075947761535645,0.14292144775390625,0.1204681396484375,1.0
12,4,3,-0.22285970052083334,-0.0963134765625,0.12654622395833334,0.1356201171875,0.112060546875,1.0
12,2,3,-0.021097819010416668,0.0552978515625,0.07639567057291667,0.089263916015625,0.06989288330078125,1.0
12,0,3,0.010528564453125,0.070068359375,0.059539794921875,0.06036376953125,0.05806732177734375,1.0
7,20,3,-0.033223470052083336,0.020538330078125,0.053761800130208336,0.064971923828125,0.044281005859375,1.0
12,28,3,-0.055806477864583336,-0.00984954833984375,0.045956929524739586,0.04901885986328125,0.04297637939453125,1.0
12,5,3,-0.013582865397135416,0.03070068359375,0.044283548990885414,0.05322265625,0.03893280029296875,1.0
12,11,3,0.030080159505208332,0.07159423828125,0.041514078776041664,0.044647216796875,0.037261962890625,1.0
12,21,3,-0.023701985677083332,0.01529693603515625,0.038998921712239586,0.03992462158203125,0.03797149658203125,1.0
4,22,3,-0.018758138020833332,0.0162200927734375,0.034978230794270836,0.0376739501953125,0.032928466796875,1.0
8,21,3,-0.012819925944010416,0.019989013671875,0.032808939615885414,0.03476715087890625,0.03173065185546875,1.0
9,24,3,0.017720540364583332,0.046783447265625,0.029062906901041668,0.03204345703125,0.026397705078125,1.0
