layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,15,3,-0.0023415088653564453,0.12347412109375,0.12581562995910645,0.13797760009765625,0.1155242919921875,1.0
12,4,3,-0.22285970052083334,-0.09808349609375,0.12477620442708333,0.13385009765625,0.11029052734375,1.0
12,2,3,-0.021097819010416668,0.05657958984375,0.07767740885416667,0.090545654296875,0.07117462158203125,1.0
12,0,3,0.010528564453125,0.071533203125,0.061004638671875,0.06182861328125,0.05953216552734375,1.0
7,20,3,-0.033223470052083336,0.019927978515625,0.053151448567708336,0.064361572265625,0.043670654296875,1.0
12,28,3,-0.055806477864583336,-0.00942230224609375,0.046384175618489586,0.04944610595703125,0.04340362548828125,1.0
12,5,3,-0.013582865397135416,0.0289306640625,0.042513529459635414,0.05145263671875,0.03716278076171875,1.0
12,21,3,-0.023701985677083332,0.01800537109375,0.041707356770833336,0.042633056640625,0.040679931640625,1.0
12,11,3,0.030080159505208332,0.071533203125,0.041453043619791664,0.044586181640625,0.037200927734375,1.0
4,22,3,-0.018758138020833332,0.0163421630859375,0.035100301106770836,0.0377960205078125,0.033050537109375,1.0
8,21,3,-0.012819925944010416,0.0205078125,0.033327738444010414,0.03528594970703125,0.03224945068359375,1.0
6,14,3,-0.027608235677083332,-0.000286102294921875,0.027322133382161457,0.029575347900390625,0.023242950439453125,1.0
