trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,0,0,61,Invoke-Expression,1767.ps1,2019.ps1,0.003993988037109375,0.0037288665771484375,-0.0002651214599609375
13,pre,mean_delta,0,1,61,Invoke-Expression,1767.ps1,2019.ps1,-0.003444671630859375,-0.002162933349609375,0.00128173828125
13,pre,mean_delta,0,2,61,Invoke-Expression,1767.ps1,2019.ps1,0.00299835205078125,0.002902984619140625,-9.5367431640625e-05
13,pre,mean_delta,0,3,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0003108978271484375,-0.0007281303405761719,-0.0004172325134277344
13,pre,mean_delta,0,4,61,Invoke-Expression,1767.ps1,2019.ps1,0.00011408329010009766,0.00014865398406982422,3.457069396972656e-05
13,pre,mean_delta,0,5,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00037217140197753906,-0.00021767616271972656,0.0001544952392578125
13,pre,mean_delta,0,6,61,Invoke-Expression,1767.ps1,2019.ps1,0.001903533935546875,0.001712799072265625,-0.00019073486328125
13,pre,mean_delta,0,7,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00264739990234375,-0.0019130706787109375,0.0007343292236328125
13,pre,mean_delta,0,8,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0008187294006347656,0.00010949373245239258,0.0009282231330871582
13,pre,mean_delta,0,9,61,Invoke-Expression,1767.ps1,2019.ps1,-4.464387893676758e-05,-0.0003719329833984375,-0.0003272891044616699
13,pre,mean_delta,0,10,61,Invoke-Expression,1767.ps1,2019.ps1,0.0009465217590332031,0.0007987022399902344,-0.00014781951904296875
13,pre,mean_delta,0,11,61,Invoke-Expression,1767.ps1,2019.ps1,0.0010356903076171875,0.0001919269561767578,-0.0008437633514404297
13,pre,mean_delta,0,12,61,Invoke-Expression,1767.ps1,2019.ps1,0.0011854171752929688,0.0008072853088378906,-0.0003781318664550781
13,pre,mean_delta,0,13,61,Invoke-Expression,1767.ps1,2019.ps1,0.0001099705696105957,-0.00064849853515625,-0.0007584691047668457
13,pre,mean_delta,0,14,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00475311279296875,-0.00501251220703125,-0.0002593994140625
13,pre,mean_delta,0,15,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0006456375122070312,-0.00020813941955566406,0.0004374980926513672
13,pre,mean_delta,0,16,61,Invoke-Expression,1767.ps1,2019.ps1,0.0004954338073730469,6.645917892456055e-05,-0.00042897462844848633
13,pre,mean_delta,0,17,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0004680156707763672,-0.0013532638549804688,-0.0008852481842041016
13,pre,mean_delta,0,18,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0010890960693359375,-9.98377799987793e-05,0.0009892582893371582
13,pre,mean_delta,0,19,61,Invoke-Expression,1767.ps1,2019.ps1,-2.562999725341797e-05,0.0002455711364746094,0.00027120113372802734
13,pre,mean_delta,0,20,61,Invoke-Expression,1767.ps1,2019.ps1,0.001712799072265625,0.0010013580322265625,-0.0007114410400390625
13,pre,mean_delta,0,21,61,Invoke-Expression,1767.ps1,2019.ps1,-0.006046295166015625,-0.006046295166015625,0.0
13,pre,mean_delta,0,22,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0002493858337402344,0.000202178955078125,0.0004515647888183594
13,pre,mean_delta,0,23,61,Invoke-Expression,1767.ps1,2019.ps1,-0.01953125,-0.0175018310546875,0.0020294189453125
13,pre,mean_delta,0,24,61,Invoke-Expression,1767.ps1,2019.ps1,0.001117706298828125,0.0012426376342773438,0.00012493133544921875
13,pre,mean_delta,0,25,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0006432533264160156,-0.0005698204040527344,7.343292236328125e-05
13,pre,mean_delta,0,26,61,Invoke-Expression,1767.ps1,2019.ps1,0.0027599334716796875,0.002086639404296875,-0.0006732940673828125
13,pre,mean_delta,0,27,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0011272430419921875,-0.001068115234375,5.91278076171875e-05
13,pre,mean_delta,0,28,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0028438568115234375,-0.00347137451171875,-0.0006275177001953125
13,pre,mean_delta,0,29,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0026397705078125,-0.0026645660400390625,-2.47955322265625e-05
13,pre,mean_delta,0,30,61,Invoke-Expression,1767.ps1,2019.ps1,-0.003170013427734375,-0.0031585693359375,1.1444091796875e-05
13,pre,mean_delta,0,31,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0033111572265625,-0.0033111572265625,0.0
13,pre,mean_delta,1,0,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0002053976058959961,-0.0005960464477539062,-0.00039064884185791016
13,pre,mean_delta,1,1,61,Invoke-Expression,1767.ps1,2019.ps1,0.0007610321044921875,0.0007190704345703125,-4.1961669921875e-05
13,pre,mean_delta,1,2,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00124359130859375,-0.0009756088256835938,0.00026798248291015625
13,pre,mean_delta,1,3,61,Invoke-Expression,1767.ps1,2019.ps1,0.0010499954223632812,-0.0005354881286621094,-0.0015854835510253906
13,pre,mean_delta,1,4,61,Invoke-Expression,1767.ps1,2019.ps1,0.0037593841552734375,0.0043792724609375,0.0006198883056640625
13,pre,mean_delta,1,5,61,Invoke-Expression,1767.ps1,2019.ps1,0.0011987686157226562,6.67572021484375e-05,-0.0011320114135742188
13,pre,mean_delta,1,6,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0019054412841796875,-0.0020961761474609375,-0.00019073486328125
13,pre,mean_delta,1,7,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0009088516235351562,-0.0009121894836425781,-3.337860107421875e-06
13,pre,mean_delta,1,8,61,Invoke-Expression,1767.ps1,2019.ps1,0.00296783447265625,0.0025348663330078125,-0.0004329681396484375
13,pre,mean_delta,1,9,61,Invoke-Expression,1767.ps1,2019.ps1,0.0009260177612304688,0.00159454345703125,0.0006685256958007812
13,pre,mean_delta,1,10,61,Invoke-Expression,1767.ps1,2019.ps1,0.004779815673828125,0.0045166015625,-0.000263214111328125
13,pre,mean_delta,1,11,61,Invoke-Expression,1767.ps1,2019.ps1,0.0003304481506347656,-0.0010919570922851562,-0.0014224052429199219
13,pre,mean_delta,1,12,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00197601318359375,-0.001708984375,0.00026702880859375
13,pre,mean_delta,1,13,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0014486312866210938,-0.0015392303466796875,-9.059906005859375e-05
13,pre,mean_delta,1,14,61,Invoke-Expression,1767.ps1,2019.ps1,-0.002044677734375,-0.0015249252319335938,0.0005197525024414062
13,pre,mean_delta,1,15,61,Invoke-Expression,1767.ps1,2019.ps1,-0.001583099365234375,-0.0016698837280273438,-8.678436279296875e-05
13,pre,mean_delta,1,16,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00012254714965820312,0.004474639892578125,0.004597187042236328
13,pre,mean_delta,1,17,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00044345855712890625,-0.00036072731018066406,8.273124694824219e-05
13,pre,mean_delta,1,18,61,Invoke-Expression,1767.ps1,2019.ps1,0.0012445449829101562,-0.0008249282836914062,-0.0020694732666015625
13,pre,mean_delta,1,19,61,Invoke-Expression,1767.ps1,2019.ps1,0.00018930435180664062,0.00025010108947753906,6.079673767089844e-05
13,pre,mean_delta,1,20,61,Invoke-Expression,1767.ps1,2019.ps1,-0.001468658447265625,-0.0004825592041015625,0.0009860992431640625
13,pre,mean_delta,1,21,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0018558502197265625,-0.0021686553955078125,-0.00031280517578125
13,pre,mean_delta,1,22,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0009632110595703125,-0.0006132125854492188,0.00034999847412109375
13,pre,mean_delta,1,23,61,Invoke-Expression,1767.ps1,2019.ps1,0.00203704833984375,0.0037517547607421875,0.0017147064208984375
13,pre,mean_delta,1,24,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0009069442749023438,-0.0009775161743164062,-7.05718994140625e-05
13,pre,mean_delta,1,25,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00461578369140625,-0.004222869873046875,0.000392913818359375
13,pre,mean_delta,1,26,61,Invoke-Expression,1767.ps1,2019.ps1,0.0034027099609375,0.00296783447265625,-0.00043487548828125
13,pre,mean_delta,1,27,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0028858184814453125,-0.0028324127197265625,5.340576171875e-05
13,pre,mean_delta,1,28,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00560760498046875,-0.0020008087158203125,0.0036067962646484375
13,pre,mean_delta,1,29,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00014412403106689453,-0.0007262229919433594,-0.0005820989608764648
