pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
1,-EncodedCommand,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,2,6.46875,3.125,-3.34375,1.119140625,0.99072265625
2,-EncodedCommand,fa2y/malicious_samples/3be48d4c420c6391f72bfe4c0122f6fbb1d2a0ee0f95dc9e916828ee12540442.ps1,3,4.796875,6.40625,1.609375,0.79345703125,0.99462890625
3,-EncodedCommand,3321.ps1,15,3.90625,6.40625,2.5,1.8837890625,0.97021484375
4,-EncodedCommand,fa2y/malicious_samples/948117c2a6d68251997d49f7cdb833272e79f44093e2efcb9212d49f9d8591a8.ps1,9,2.65625,0.78125,-1.875,1.005859375,0.9912109375
5,-EncodedCommand,3943.ps1,15,5.0625,7.03125,1.96875,1.943359375,0.9677734375
11,-EncodedCommand,fa2y/malicious_samples/1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37.ps1,6,4.078125,3.666015625,-0.412109375,1.244140625,0.9892578125
12,-EncodedCommand,fa2y/malicious_samples/1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37-obf-out-obfuscatedast.ps1,6,1.1806640625,1.8154296875,0.634765625,1.7880859375,0.974609375
13,DownloadFile,137.ps1,8,5.03125,-0.4375,-5.46875,3.251953125,0.91943359375
14,DownloadFile,fa2y/malicious_samples/bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7.ps1,8,5.765625,-0.84375,-6.609375,3.427734375,0.912109375
15,DownloadFile,fa2y/malicious_samples/fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384.ps1,8,5.84375,-0.859375,-6.703125,3.47265625,0.91015625
16,DownloadFile,fa2y/malicious_samples/34dcf2a22fa7555de2ab95c3d8ab5605de01345b8d741491e1907ecd50a5ea1f.ps1,8,5.828125,-0.90625,-6.734375,3.3359375,0.91650390625
17,DownloadFile,fa2y/malicious_samples/fef9fdbb642fd0bebbc11aca6676ed8532eb3a5dd1c71eb38a260d4b21f9aaae.ps1,8,5.390625,-1.046875,-6.4375,3.396484375,0.9140625
18,DownloadFile,1927.ps1,8,7.46875,-0.96875,-8.4375,3.37109375,0.9150390625
