pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
1,-EncodedCommand,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,2,12.8125,11.046875,-1.765625,0.81884765625,0.99365234375
2,-EncodedCommand,fa2y/malicious_samples/3be48d4c420c6391f72bfe4c0122f6fbb1d2a0ee0f95dc9e916828ee12540442.ps1,3,8.921875,6.5703125,-2.3515625,1.1103515625,0.98779296875
3,-EncodedCommand,3321.ps1,15,4.7578125,5.3828125,0.625,2.30859375,0.93701171875
4,-EncodedCommand,fa2y/malicious_samples/948117c2a6d68251997d49f7cdb833272e79f44093e2efcb9212d49f9d8591a8.ps1,9,1.921875,1.6171875,-0.3046875,0.9755859375,0.98828125
5,-EncodedCommand,3943.ps1,15,5.6484375,5.578125,-0.0703125,2.078125,0.951171875
11,-EncodedCommand,fa2y/malicious_samples/1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37.ps1,6,0.458984375,0.109375,-0.349609375,2.61328125,0.95458984375
12,-EncodedCommand,fa2y/malicious_samples/1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37-obf-out-obfuscatedast.ps1,6,-1.0341796875,-0.9619140625,0.072265625,1.11328125,0.99072265625
13,DownloadFile,137.ps1,8,11.96875,2.453125,-9.515625,4.1953125,0.80908203125
14,DownloadFile,fa2y/malicious_samples/bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7.ps1,8,11.375,2.0234375,-9.3515625,3.291015625,0.8837890625
15,DownloadFile,fa2y/malicious_samples/fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384.ps1,8,11.09375,3.671875,-7.421875,3.365234375,0.87890625
16,DownloadFile,fa2y/malicious_samples/34dcf2a22fa7555de2ab95c3d8ab5605de01345b8d741491e1907ecd50a5ea1f.ps1,8,11.75,1.9921875,-9.7578125,3.216796875,0.89013671875
17,DownloadFile,fa2y/malicious_samples/fef9fdbb642fd0bebbc11aca6676ed8532eb3a5dd1c71eb38a260d4b21f9aaae.ps1,8,11.375,2.3359375,-9.0390625,3.22265625,0.8896484375
18,DownloadFile,1927.ps1,8,12.203125,1.703125,-10.5,3.29296875,0.88525390625
19,DownloadFile,fa2y/malicious_samples/0f5e36a549a4ec6e0605f7310205ebdd5141c532959bd9bf5ee25f06560e7c18.ps1,8,11.8046875,2.1171875,-9.6875,3.22265625,0.88916015625
20,DownloadFile,fa2y/malicious_samples/17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc.ps1,8,11.90625,1.9453125,-9.9609375,3.23046875,0.88916015625
21,DownloadFile,527.ps1,8,13.328125,1.53125,-11.796875,4.33984375,0.796875
22,DownloadFile,fa2y/malicious_samples/3bdbacef19e6f70b3bf22ba0e82a4b828b22f124ac9e7781ea1ab8b1e8111850.ps1,8,13.484375,2.734375,-10.75,5.0234375,0.720703125
23,DownloadFile,1417.ps1,8,12.40625,4.2734375,-8.1328125,4.31640625,0.80029296875
24,DownloadFile,765.ps1,8,11.625,1.703125,-9.921875,3.369140625,0.87841796875
25,DownloadFile,fa2y/malicious_samples/8c157e6e3ec424e585e53ae41ce6e13cd313e73f1891cd992b3ea7eeb866bad5.ps1,8,12.453125,6.3515625,-6.1015625,4.265625,0.80908203125
26,DownloadFile,2770.ps1,8,13.09375,1.921875,-11.171875,3.974609375,0.83056640625
27,DownloadFile,fa2y/malicious_samples/21d04d37dfb4551f54607a3532d6c0d5f46ec52c20ae6db78eb8a4f904a42994.ps1,8,10.703125,2.4609375,-8.2421875,3.4609375,0.87255859375
28,DownloadFile,fa2y/malicious_samples/fc04cb621163954fa0f60dfaec9b07b3c9c6a20600609940d59c8a3ef1684e87.ps1,8,13.1640625,1.640625,-11.5234375,4.30859375,0.79931640625
29,DownloadFile,2103.ps1,8,13.09375,1.609375,-11.484375,4.140625,0.814453125
30,DownloadFile,3778.ps1,8,13.203125,1.578125,-11.625,4.2578125,0.8037109375
31,DownloadFile,fa2y/malicious_samples/4afbe15a7453deb54b263466abdb0b3978eec9bc68bb48f2c6f02104b1dd4e6b.ps1,8,11.78125,6.2265625,-5.5546875,4.375,0.7958984375
32,DownloadFile,fa2y/malicious_samples/eb0b8f27cf64698d40167593c0be5cc7dcb3c2dec4da0ab086632832964c736f.ps1,8,13.3359375,1.53125,-11.8046875,4.46875,0.783203125
33,DownloadFile,1183.ps1,8,13.4453125,1.5,-11.9453125,4.484375,0.78271484375
34,DownloadFile,1478.ps1,8,12.953125,1.4453125,-11.5078125,4.31640625,0.798828125
35,DownloadFile,fa2y/malicious_samples/c088e1388ebd26f1611e21fb8ff0b4f7a382eafa3a54a8b360a9a9e996cce273.ps1,8,13.2734375,1.6796875,-11.59375,4.2421875,0.8056640625
36,DownloadFile,fa2y/malicious_samples/069971512a08a2f16925382bb25f8143700426f91a23b6e96cd1c4fe591b6ce8.ps1,8,13.0625,1.5078125,-11.5546875,4.29296875,0.80078125
37,DownloadFile,fa2y/malicious_samples/4fc676e10c76d22f89c74c994760ab21044c1182366a0a5473b110d631cad6e6.ps1,8,13.2734375,1.5078125,-11.765625,4.51171875,0.77880859375
38,DownloadFile,1882.ps1,8,13.40625,1.578125,-11.828125,4.38671875,0.79052734375
39,DownloadFile,78.ps1,8,13.1875,1.7109375,-11.4765625,4.19140625,0.8134765625
40,DownloadFile,fa2y/malicious_samples/908973b4b78b33b5679069c6e4a4532cb6bd8c1aa29ecd4f13bf43121871dbc1-obf-out-obfuscatedast.ps1,8,13.1640625,1.5390625,-11.625,4.48828125,0.7822265625
41,DownloadFile,fa2y/malicious_samples/b16915fae19369d88a17a6358e452248110bfa4579f917215b2931adf84959f5.ps1,8,13.3671875,3.65625,-9.7109375,4.46484375,0.78271484375
42,DownloadFile,3262.ps1,8,13.34375,1.3125,-12.03125,4.453125,0.78662109375
43,DownloadFile,446.ps1,8,13.203125,1.96875,-11.234375,4.25,0.8056640625
44,DownloadFile,1724.ps1,8,13.421875,2.140625,-11.28125,4.4921875,0.7822265625
45,DownloadFile,2775.ps1,8,13.015625,1.2265625,-11.7890625,4.203125,0.81005859375
46,DownloadFile,2291.ps1,8,12.578125,11.8671875,-0.7109375,3.255859375,0.890625
47,DownloadFile,630.ps1,8,13.015625,3.390625,-9.625,3.1796875,0.89453125
48,DownloadFile,708.ps1,8,12.7734375,11.25,-1.5234375,3.2578125,0.89111328125
49,DownloadFile,fa2y/malicious_samples/28ed8934f9387fde33d2a19029180008efc7572e4427f0e032f13550a3c1039a.ps1,8,13.2421875,2.984375,-10.2578125,3.1875,0.89453125
50,DownloadFile,1405.ps1,8,12.328125,4.859375,-7.46875,3.263671875,0.890625
51,DownloadFile,2884.ps1,8,11.171875,1.0390625,-10.1328125,3.771484375,0.84912109375
52,DownloadFile,696.ps1,8,12.734375,1.453125,-11.28125,4.4453125,0.78955078125
53,DownloadFile,fa2y/malicious_samples/00801f96c6b496509c0cb902821bdafdcbba57dedf21af1b895f474f24cbb253.ps1,8,12.3125,5.0,-7.3125,3.29296875,0.88916015625
54,DownloadFile,fa2y/malicious_samples/13f4661c1c374af2ad6fc330b948e8e9505caa804a573a6ed3500280a2421d36.ps1,8,13.15625,4.1640625,-8.9921875,3.02734375,0.90625
55,DownloadFile,fa2y/malicious_samples/fd362f7b211de390cd673099bd746d4549b3cf2dfcd4d30edf01c1e8aaf8b632.ps1,8,13.09375,4.1875,-8.90625,3.021484375,0.90625
56,DownloadFile,fa2y/malicious_samples/6a716189d14d2ea0e573633ac9075ede550ab74e55b212820d4edb9415e655dd.ps1,8,12.921875,3.8359375,-9.0859375,3.04296875,0.90478515625
57,DownloadFile,1662.ps1,8,12.859375,11.0234375,-1.8359375,3.083984375,0.9033203125
