rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
0,39,' scripts',20070,0.04921,3,malicious,DownloadFile,256
1,246,"'"")\n'",1158,0.048249,3,malicious,DownloadFile,256
2,232,"'"");'",5146,0.044162,3,malicious,DownloadFile,256
3,222,"""',""",518,0.038161,3,malicious,DownloadFile,256
4,196,'\n',198,0.029447,3,malicious,DownloadFile,256
5,248,'`\n',4077,0.025225,3,malicious,DownloadFile,256
6,152,'-',12,0.021182,3,malicious,DownloadFile,256
7,202,'.Web',6609,0.0202,3,malicious,DownloadFile,256
8,203,'Client',3032,0.016741,3,malicious,DownloadFile,256
9,103,"""'s""",596,0.015498,3,malicious,DownloadFile,256
10,1,'<|start_header_id|>',128006,0.015387,3,malicious,DownloadFile,256
11,0,'<|begin_of_text|>',128000,0.015373,3,malicious,DownloadFile,256
12,92,' as',439,0.014242,3,malicious,DownloadFile,256
13,254,'<|end_header_id|>',128007,0.013592,3,malicious,DownloadFile,256
14,55,"""'s""",596,0.012796,3,malicious,DownloadFile,256
0,452,"' ""$'",5312,0.035407,3,benign,DownloadFile,497
1,213,'Get',1991,0.033755,3,benign,DownloadFile,497
2,450,' /',611,0.02561,3,benign,DownloadFile,497
3,485,'Management',23030,0.024849,3,benign,DownloadFile,497
4,39,' scripts',20070,0.021727,3,benign,DownloadFile,497
5,444,'()\n\n',2892,0.020708,3,benign,DownloadFile,497
6,489,'`\n',4077,0.018055,3,benign,DownloadFile,497
7,476,"'""\n'",702,0.015621,3,benign,DownloadFile,497
8,389,'()\n',746,0.015278,3,benign,DownloadFile,497
9,196,'\n',198,0.014123,3,benign,DownloadFile,497
10,481,'-P',9483,0.01392,3,benign,DownloadFile,497
11,422,'.Web',6609,0.013669,3,benign,DownloadFile,497
12,280,'.com',916,0.012782,3,benign,DownloadFile,497
13,365,'Request',1939,0.012663,3,benign,DownloadFile,497
14,438,'Filename',21422,0.0126,3,benign,DownloadFile,497
0,243,"'"")\n'",1158,0.047569,4,malicious,DownloadFile,253
1,39,' scripts',20070,0.045958,4,malicious,DownloadFile,253
2,229,"'"");'",5146,0.043539,4,malicious,DownloadFile,253
3,219,"""',""",518,0.037639,4,malicious,DownloadFile,253
4,196,'\n',198,0.032247,4,malicious,DownloadFile,253
5,245,'`\n',4077,0.024874,4,malicious,DownloadFile,253
6,202,'.Web',6609,0.022143,4,malicious,DownloadFile,253
7,203,'Client',3032,0.021098,4,malicious,DownloadFile,253
8,152,'-',12,0.020467,4,malicious,DownloadFile,253
9,0,'<|begin_of_text|>',128000,0.015078,4,malicious,DownloadFile,253
10,1,'<|start_header_id|>',128006,0.015058,4,malicious,DownloadFile,253
11,158,' are',527,0.014962,4,malicious,DownloadFile,253
