pair_idx,pair_indicator,benign_filename,benign_manifest_rank,benign_used_char_len,malicious_filename,malicious_manifest_rank,malicious_used_char_len,indicator_positions,indicator_count
3,DownloadFile,2670.ps1,,975,1611.ps1,,152,"[151, 152, 153, 201, 202, 203, 205, 206, 233, 234, 235]",3
4,DownloadFile,2670.ps1,,975,4030.ps1,,152,"[151, 152, 153, 201, 202, 203, 205, 206, 230, 231, 232]",3
5,DownloadFile,2670.ps1,,975,1011.ps1,,151,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
6,DownloadFile,2670.ps1,,975,2833.ps1,,151,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
7,DownloadFile,2670.ps1,,975,3414.ps1,,151,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
8,DownloadFile,2670.ps1,,975,1515.ps1,,149,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
9,DownloadFile,2670.ps1,,975,1839.ps1,,149,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
10,DownloadFile,2670.ps1,,975,1931.ps1,,149,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
11,DownloadFile,2670.ps1,,975,3671.ps1,,149,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
12,DownloadFile,2670.ps1,,975,2227.ps1,,147,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
13,DownloadFile,2670.ps1,,975,3545.ps1,,146,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
14,DownloadFile,2670.ps1,,975,1946.ps1,,144,"[151, 152, 153, 201, 202, 203, 205, 206, 228, 229, 230]",3
15,DownloadFile,2670.ps1,,975,3426.ps1,,143,"[151, 152, 153, 201, 202, 203, 205, 206, 230, 231, 232]",3
16,DownloadFile,2670.ps1,,975,1693.ps1,,141,"[151, 152, 153, 201, 202, 203, 205, 206, 229, 230, 231]",3
17,DownloadFile,2670.ps1,,975,179.ps1,,141,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
18,DownloadFile,2670.ps1,,975,2294.ps1,,141,"[151, 152, 153, 201, 202, 203, 205, 206, 230, 231, 232]",3
19,DownloadFile,2670.ps1,,975,2713.ps1,,141,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
20,DownloadFile,2670.ps1,,975,2920.ps1,,141,"[151, 152, 153, 201, 202, 203, 205, 206, 231, 232, 233]",3
