rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
0,40,' as',439,0.079443,3,malicious,DownloadFile,142
1,132,"'"")\n'",1158,0.067803,3,malicious,DownloadFile,142
2,118,"'"");'",5146,0.06206,3,malicious,DownloadFile,142
3,108,"""',""",518,0.053716,3,malicious,DownloadFile,142
4,82,'\n',198,0.041413,3,malicious,DownloadFile,142
5,134,'`\n',4077,0.035486,3,malicious,DownloadFile,142
6,1,'<|start_header_id|>',128006,0.028684,3,malicious,DownloadFile,142
7,88,'.Web',6609,0.028407,3,malicious,DownloadFile,142
8,0,'<|begin_of_text|>',128000,0.028313,3,malicious,DownloadFile,142
9,89,'Client',3032,0.02354,3,malicious,DownloadFile,142
10,140,'<|end_header_id|>',128007,0.019116,3,malicious,DownloadFile,142
11,86,' System',744,0.017502,3,malicious,DownloadFile,142
12,92,'File',1738,0.017081,3,malicious,DownloadFile,142
13,84,'-',12,0.016029,3,malicious,DownloadFile,142
14,35,'.',13,0.015914,3,malicious,DownloadFile,142
0,338,"' ""$'",5312,0.039873,3,benign,DownloadFile,383
1,99,'Get',1991,0.037976,3,benign,DownloadFile,383
2,336,' /',611,0.028823,3,benign,DownloadFile,383
3,371,'Management',23030,0.027981,3,benign,DownloadFile,383
4,40,' as',439,0.0262,3,benign,DownloadFile,383
5,330,'()\n\n',2892,0.023306,3,benign,DownloadFile,383
6,375,'`\n',4077,0.020336,3,benign,DownloadFile,383
7,362,"'""\n'",702,0.017568,3,benign,DownloadFile,383
8,275,'()\n',746,0.017196,3,benign,DownloadFile,383
9,82,'\n',198,0.015883,3,benign,DownloadFile,383
10,367,'-P',9483,0.015665,3,benign,DownloadFile,383
11,308,'.Web',6609,0.015376,3,benign,DownloadFile,383
12,166,'.com',916,0.014363,3,benign,DownloadFile,383
13,251,'Request',1939,0.014245,3,benign,DownloadFile,383
14,324,'Filename',21422,0.014169,3,benign,DownloadFile,383
0,40,' as',439,0.075068,4,malicious,DownloadFile,139
1,129,"'"")\n'",1158,0.06674,4,malicious,DownloadFile,139
2,115,"'"");'",5146,0.061057,4,malicious,DownloadFile,139
3,105,"""',""",518,0.05287,4,malicious,DownloadFile,139
4,82,'\n',198,0.045274,4,malicious,DownloadFile,139
5,131,'`\n',4077,0.034921,4,malicious,DownloadFile,139
6,88,'.Web',6609,0.031098,4,malicious,DownloadFile,139
7,89,'Client',3032,0.029637,4,malicious,DownloadFile,139
8,1,'<|start_header_id|>',128006,0.028861,4,malicious,DownloadFile,139
9,0,'<|begin_of_text|>',128000,0.028701,4,malicious,DownloadFile,139
10,137,'<|end_header_id|>',128007,0.018825,4,malicious,DownloadFile,139
11,127,'86',4218,0.018565,4,malicious,DownloadFile,139
12,92,'File',1738,0.017872,4,malicious,DownloadFile,139
13,86,' System',744,0.015614,4,malicious,DownloadFile,139
14,45,' /',611,0.01549,4,malicious,DownloadFile,139
0,338,"' ""$'",5312,0.039873,4,benign,DownloadFile,383
1,99,'Get',1991,0.037976,4,benign,DownloadFile,383
2,336,' /',611,0.028823,4,benign,DownloadFile,383
3,371,'Management',23030,0.027981,4,benign,DownloadFile,383
4,40,' as',439,0.0262,4,benign,DownloadFile,383
5,330,'()\n\n',2892,0.023306,4,benign,DownloadFile,383
6,375,'`\n',4077,0.020336,4,benign,DownloadFile,383
7,362,"'""\n'",702,0.017568,4,benign,DownloadFile,383
8,275,'()\n',746,0.017196,4,benign,DownloadFile,383
9,82,'\n',198,0.015883,4,benign,DownloadFile,383
10,367,'-P',9483,0.015665,4,benign,DownloadFile,383
11,308,'.Web',6609,0.015376,4,benign,DownloadFile,383
12,166,'.com',916,0.014363,4,benign,DownloadFile,383
13,251,'Request',1939,0.014245,4,benign,DownloadFile,383
14,324,'Filename',21422,0.014169,4,benign,DownloadFile,383
0,40,' as',439,0.079672,5,malicious,DownloadFile,141
1,131,"'"")\n'",1158,0.067478,5,malicious,DownloadFile,141
2,116,"'"");'",5146,0.063548,5,malicious,DownloadFile,141
3,105,"""',""",518,0.058212,5,malicious,DownloadFile,141
4,82,'\n',198,0.041602,5,malicious,DownloadFile,141
5,133,'`\n',4077,0.035288,5,malicious,DownloadFile,141
6,1,'<|start_header_id|>',128006,0.028802,5,malicious,DownloadFile,141
7,0,'<|begin_of_text|>',128000,0.028536,5,malicious,DownloadFile,141
8,88,'.Web',6609,0.02714,5,malicious,DownloadFile,141
9,89,'Client',3032,0.024352,5,malicious,DownloadFile,141
10,139,'<|end_header_id|>',128007,0.019019,5,malicious,DownloadFile,141
11,92,'File',1738,0.017415,5,malicious,DownloadFile,141
12,84,'-',12,0.017296,5,malicious,DownloadFile,141
13,127,'1',16,0.017103,5,malicious,DownloadFile,141
14,86,' System',744,0.0171,5,malicious,DownloadFile,141
0,338,"' ""$'",5312,0.039873,5,benign,DownloadFile,383
1,99,'Get',1991,0.037976,5,benign,DownloadFile,383
2,336,' /',611,0.028823,5,benign,DownloadFile,383
3,371,'Management',23030,0.027981,5,benign,DownloadFile,383
4,40,' as',439,0.0262,5,benign,DownloadFile,383
5,330,'()\n\n',2892,0.023306,5,benign,DownloadFile,383
6,375,'`\n',4077,0.020336,5,benign,DownloadFile,383
7,362,"'""\n'",702,0.017568,5,benign,DownloadFile,383
8,275,'()\n',746,0.017196,5,benign,DownloadFile,383
9,82,'\n',198,0.015883,5,benign,DownloadFile,383
10,367,'-P',9483,0.015665,5,benign,DownloadFile,383
11,308,'.Web',6609,0.015376,5,benign,DownloadFile,383
12,166,'.com',916,0.014363,5,benign,DownloadFile,383
13,251,'Request',1939,0.014245,5,benign,DownloadFile,383
14,324,'Filename',21422,0.014169,5,benign,DownloadFile,383
0,40,' as',439,0.079672,6,malicious,DownloadFile,141
1,131,"'"")\n'",1158,0.067478,6,malicious,DownloadFile,141
2,116,"'"");'",5146,0.063548,6,malicious,DownloadFile,141
3,105,"""',""",518,0.058212,6,malicious,DownloadFile,141
4,82,'\n',198,0.041602,6,malicious,DownloadFile,141
5,133,'`\n',4077,0.035288,6,malicious,DownloadFile,141
6,1,'<|start_header_id|>',128006,0.028802,6,malicious,DownloadFile,141
7,0,'<|begin_of_text|>',128000,0.028536,6,malicious,DownloadFile,141
8,88,'.Web',6609,0.02714,6,malicious,DownloadFile,141
9,89,'Client',3032,0.024352,6,malicious,DownloadFile,141
10,139,'<|end_header_id|>',128007,0.019019,6,malicious,DownloadFile,141
11,92,'File',1738,0.017415,6,malicious,DownloadFile,141
12,84,'-',12,0.017296,6,malicious,DownloadFile,141
13,127,'1',16,0.017103,6,malicious,DownloadFile,141
14,86,' System',744,0.0171,6,malicious,DownloadFile,141
0,338,"' ""$'",5312,0.039873,6,benign,DownloadFile,383
1,99,'Get',1991,0.037976,6,benign,DownloadFile,383
2,336,' /',611,0.028823,6,benign,DownloadFile,383
3,371,'Management',23030,0.027981,6,benign,DownloadFile,383
4,40,' as',439,0.0262,6,benign,DownloadFile,383
5,330,'()\n\n',2892,0.023306,6,benign,DownloadFile,383
6,375,'`\n',4077,0.020336,6,benign,DownloadFile,383
7,362,"'""\n'",702,0.017568,6,benign,DownloadFile,383
8,275,'()\n',746,0.017196,6,benign,DownloadFile,383
9,82,'\n',198,0.015883,6,benign,DownloadFile,383
10,367,'-P',9483,0.015665,6,benign,DownloadFile,383
11,308,'.Web',6609,0.015376,6,benign,DownloadFile,383
12,166,'.com',916,0.014363,6,benign,DownloadFile,383
13,251,'Request',1939,0.014245,6,benign,DownloadFile,383
14,324,'Filename',21422,0.014169,6,benign,DownloadFile,383
0,40,' as',439,0.079672,7,malicious,DownloadFile,141
1,131,"'"")\n'",1158,0.067478,7,malicious,DownloadFile,141
2,116,"'"");'",5146,0.063548,7,malicious,DownloadFile,141
3,105,"""',""",518,0.058212,7,malicious,DownloadFile,141
4,82,'\n',198,0.041602,7,malicious,DownloadFile,141
5,133,'`\n',4077,0.035288,7,malicious,DownloadFile,141
6,1,'<|start_header_id|>',128006,0.028802,7,malicious,DownloadFile,141
7,0,'<|begin_of_text|>',128000,0.028536,7,malicious,DownloadFile,141
8,88,'.Web',6609,0.02714,7,malicious,DownloadFile,141
