filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
1735.ps1,benign,benign,ALLOW,ALLOW,-0.59375,True,952,False
fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,malicious,malicious,BLOCK,BLOCK,12.7890625,True,577,False
2150.ps1,benign,benign,ALLOW,ALLOW,-0.3671875,True,10699,False
fa2y/malicious_samples/3be48d4c420c6391f72bfe4c0122f6fbb1d2a0ee0f95dc9e916828ee12540442.ps1,malicious,malicious,BLOCK,BLOCK,8.8984375,True,710,False
1735.ps1,benign,benign,ALLOW,ALLOW,-0.59375,True,952,False
3321.ps1,malicious,malicious,BLOCK,BLOCK,4.7265625,True,2527,False
2150.ps1,benign,benign,ALLOW,ALLOW,-0.3671875,True,10699,False
fa2y/malicious_samples/948117c2a6d68251997d49f7cdb833272e79f44093e2efcb9212d49f9d8591a8.ps1,malicious,malicious,BLOCK,BLOCK,1.8984375,True,2731,False
1735.ps1,benign,benign,ALLOW,ALLOW,-0.59375,True,952,False
3943.ps1,malicious,malicious,BLOCK,BLOCK,5.6484375,True,2941,False
1735.ps1,benign,benign,ALLOW,ALLOW,-0.59375,True,952,False
fa2y/malicious_samples/1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37.ps1,malicious,malicious,BLOCK,BLOCK,4.3984375,True,9985,False
2150.ps1,benign,benign,ALLOW,ALLOW,-0.3671875,True,10699,False
fa2y/malicious_samples/1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37-obf-out-obfuscatedast.ps1,malicious,malicious,BLOCK,BLOCK,3.109375,True,10106,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
137.ps1,malicious,malicious,BLOCK,BLOCK,11.96875,True,110,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
fa2y/malicious_samples/bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7.ps1,malicious,malicious,BLOCK,BLOCK,11.375,True,113,False
2670.ps1,benign,benign,ALLOW,ALLOW,-0.234375,True,975,False
