pair_idx,pair_indicator,benign_filename,malicious_filename,delta_norm
1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,2.47265625
3,-EncodedCommand,1735.ps1,3321.ps1,2.265625
5,-EncodedCommand,1735.ps1,3943.ps1,2.390625
13,DownloadFile,2670.ps1,137.ps1,2.685546875
14,DownloadFile,2670.ps1,fa2y/malicious_samples/bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7.ps1,2.6640625
15,DownloadFile,2670.ps1,fa2y/malicious_samples/fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384.ps1,2.6640625
16,DownloadFile,2670.ps1,fa2y/malicious_samples/34dcf2a22fa7555de2ab95c3d8ab5605de01345b8d741491e1907ecd50a5ea1f.ps1,2.69140625
17,DownloadFile,2670.ps1,fa2y/malicious_samples/fef9fdbb642fd0bebbc11aca6676ed8532eb3a5dd1c71eb38a260d4b21f9aaae.ps1,2.697265625
18,DownloadFile,2670.ps1,1927.ps1,2.81640625
19,DownloadFile,2670.ps1,fa2y/malicious_samples/0f5e36a549a4ec6e0605f7310205ebdd5141c532959bd9bf5ee25f06560e7c18.ps1,2.681640625
20,DownloadFile,2670.ps1,fa2y/malicious_samples/17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc.ps1,2.67578125
21,DownloadFile,2670.ps1,527.ps1,2.705078125
22,DownloadFile,2670.ps1,fa2y/malicious_samples/3bdbacef19e6f70b3bf22ba0e82a4b828b22f124ac9e7781ea1ab8b1e8111850.ps1,2.658203125
23,DownloadFile,2670.ps1,1417.ps1,2.751953125
24,DownloadFile,2670.ps1,765.ps1,2.6875
25,DownloadFile,2670.ps1,fa2y/malicious_samples/8c157e6e3ec424e585e53ae41ce6e13cd313e73f1891cd992b3ea7eeb866bad5.ps1,2.84765625
26,DownloadFile,2670.ps1,2770.ps1,2.666015625
27,DownloadFile,2670.ps1,fa2y/malicious_samples/21d04d37dfb4551f54607a3532d6c0d5f46ec52c20ae6db78eb8a4f904a42994.ps1,2.630859375
28,DownloadFile,2670.ps1,fa2y/malicious_samples/fc04cb621163954fa0f60dfaec9b07b3c9c6a20600609940d59c8a3ef1684e87.ps1,2.669921875
29,DownloadFile,2670.ps1,2103.ps1,2.634765625
30,DownloadFile,2670.ps1,3778.ps1,2.654296875
31,DownloadFile,2670.ps1,fa2y/malicious_samples/4afbe15a7453deb54b263466abdb0b3978eec9bc68bb48f2c6f02104b1dd4e6b.ps1,2.8515625
32,DownloadFile,2670.ps1,fa2y/malicious_samples/eb0b8f27cf64698d40167593c0be5cc7dcb3c2dec4da0ab086632832964c736f.ps1,2.7265625
33,DownloadFile,2670.ps1,1183.ps1,2.802734375
34,DownloadFile,2670.ps1,1478.ps1,2.6953125
35,DownloadFile,2670.ps1,fa2y/malicious_samples/c088e1388ebd26f1611e21fb8ff0b4f7a382eafa3a54a8b360a9a9e996cce273.ps1,2.673828125
36,DownloadFile,2670.ps1,fa2y/malicious_samples/069971512a08a2f16925382bb25f8143700426f91a23b6e96cd1c4fe591b6ce8.ps1,2.6640625
37,DownloadFile,2670.ps1,fa2y/malicious_samples/4fc676e10c76d22f89c74c994760ab21044c1182366a0a5473b110d631cad6e6.ps1,2.658203125
38,DownloadFile,2670.ps1,1882.ps1,2.65234375
39,DownloadFile,2670.ps1,78.ps1,2.724609375
40,DownloadFile,2670.ps1,fa2y/malicious_samples/908973b4b78b33b5679069c6e4a4532cb6bd8c1aa29ecd4f13bf43121871dbc1-obf-out-obfuscatedast.ps1,2.689453125
41,DownloadFile,2670.ps1,fa2y/malicious_samples/b16915fae19369d88a17a6358e452248110bfa4579f917215b2931adf84959f5.ps1,2.71484375
42,DownloadFile,2670.ps1,3262.ps1,2.677734375
43,DownloadFile,2670.ps1,446.ps1,2.685546875
44,DownloadFile,2670.ps1,1724.ps1,2.76171875
45,DownloadFile,2670.ps1,2775.ps1,2.640625
46,DownloadFile,2670.ps1,2291.ps1,2.59765625
47,DownloadFile,2670.ps1,630.ps1,2.6015625
48,DownloadFile,2670.ps1,708.ps1,2.595703125
49,DownloadFile,2670.ps1,fa2y/malicious_samples/28ed8934f9387fde33d2a19029180008efc7572e4427f0e032f13550a3c1039a.ps1,2.630859375
50,DownloadFile,2670.ps1,1405.ps1,2.640625
51,DownloadFile,2670.ps1,2884.ps1,2.71875
52,DownloadFile,2670.ps1,696.ps1,2.76953125
53,DownloadFile,2670.ps1,fa2y/malicious_samples/00801f96c6b496509c0cb902821bdafdcbba57dedf21af1b895f474f24cbb253.ps1,2.654296875
54,DownloadFile,2670.ps1,fa2y/malicious_samples/13f4661c1c374af2ad6fc330b948e8e9505caa804a573a6ed3500280a2421d36.ps1,2.6328125
55,DownloadFile,2670.ps1,fa2y/malicious_samples/fd362f7b211de390cd673099bd746d4549b3cf2dfcd4d30edf01c1e8aaf8b632.ps1,2.625
56,DownloadFile,2670.ps1,fa2y/malicious_samples/6a716189d14d2ea0e573633ac9075ede550ab74e55b212820d4edb9415e655dd.ps1,2.607421875
57,DownloadFile,2670.ps1,1662.ps1,2.6484375
58,DownloadFile,2670.ps1,fa2y/malicious_samples/2a771f819c3acc12bac20d738d66012e2be6ca1dfafac39daee0972d12a52309.ps1,2.859375
59,DownloadFile,2670.ps1,fa2y/malicious_samples/ee9db34d2a631ffde5de442538b91f2349c04bbc56ef9a51a9d9121891e2025f.ps1,2.7578125
60,DownloadFile,2670.ps1,fa2y/malicious_samples/eef58f790d1bae1a61be20c145fea11a70c2f028cd4786b86a4952229efefdef.ps1,2.748046875
61,DownloadFile,2670.ps1,1878.ps1,2.779296875
62,DownloadFile,2670.ps1,fa2y/malicious_samples/61d9c74e3ceb2ed56d3eacc3564a7e122934e7fe6fda9aef8a47327f4964ef01.ps1,2.484375
63,DownloadFile,2670.ps1,1614.ps1,2.755859375
64,DownloadFile,2670.ps1,2458.ps1,2.671875
65,DownloadFile,2670.ps1,3425.ps1,2.74609375
66,DownloadFile,2670.ps1,3843.ps1,2.7734375
67,DownloadFile,2670.ps1,714.ps1,2.71875
68,DownloadFile,2670.ps1,537.ps1,2.69921875
69,DownloadFile,2670.ps1,fa2y/malicious_samples/78410e63ba1777081b11999fc865729fe7810d340b2d54c6ce806e4b1140da00.ps1,2.771484375
70,DownloadFile,2670.ps1,1052.ps1,2.794921875
71,DownloadFile,2670.ps1,2137.ps1,2.6953125
72,DownloadFile,2670.ps1,2174.ps1,2.638671875
73,DownloadFile,2670.ps1,438.ps1,2.642578125
74,DownloadFile,2670.ps1,fa2y/malicious_samples/17986c869474fb98fa38009e9cf3a890a2940911978f7ba190490071210d945d.ps1,2.55078125
75,DownloadFile,2670.ps1,119.ps1,2.697265625
76,DownloadFile,2670.ps1,355.ps1,2.939453125
77,DownloadFile,2670.ps1,4014.ps1,2.703125
78,DownloadFile,2670.ps1,fa2y/malicious_samples/756c8c6d417ac2fdb1cc3aaf05a1ae94e83836e3ff15444329b8c6e3b1a0a1fd.ps1,2.716796875
79,DownloadFile,2670.ps1,139.ps1,2.755859375
80,DownloadFile,2670.ps1,1861.ps1,2.896484375
81,DownloadFile,2670.ps1,2312.ps1,2.79296875
82,DownloadFile,2670.ps1,1269.ps1,2.794921875
83,DownloadFile,2670.ps1,1322.ps1,2.66015625
84,DownloadFile,2670.ps1,2438.ps1,2.53515625
85,DownloadFile,2670.ps1,fa2y/malicious_samples/fefa951333917fa97d95954c2bca05e0ff4af887f17a0c73e0522f256b8c5431-obf-out-obfuscatedast.ps1,2.59765625
86,DownloadFile,2670.ps1,1399.ps1,2.625
87,DownloadFile,2670.ps1,fa2y/malicious_samples/9f65cac31bf5792dd7f279d61f5576241d425058ef9b72c289cac91f48ae3329.ps1,2.6484375
88,DownloadFile,2670.ps1,fa2y/malicious_samples/b0c4041a617c4347ad79749b0da823e642f07d36eeee57e98d467a3950cb10e1.ps1,2.640625
89,DownloadFile,2670.ps1,1693.ps1,2.65234375
90,DownloadFile,2670.ps1,179.ps1,2.52734375
91,DownloadFile,2670.ps1,2294.ps1,2.68359375
92,DownloadFile,2670.ps1,2713.ps1,2.515625
93,DownloadFile,2670.ps1,2920.ps1,2.4921875
94,DownloadFile,2670.ps1,fa2y/malicious_samples/30a5d1443d7e3e1e4f15af2900ccf25d5631d5475f52a33c93df91076a0e8264.ps1,2.697265625
95,DownloadFile,2670.ps1,fa2y/malicious_samples/bb2fcf0a07ce7797c373c312a48e73d8d27ce6d4086a441398231f02c70d0227.ps1,2.53515625
96,DownloadFile,2670.ps1,3426.ps1,2.68359375
97,DownloadFile,2670.ps1,fa2y/malicious_samples/820fb4dfcda98e81a46fd94b2cd0c1d836b21f3a6049496da2e2d2b36fbc43e0.ps1,2.619140625
98,DownloadFile,2670.ps1,1946.ps1,2.716796875
99,DownloadFile,2670.ps1,fa2y/malicious_samples/2e165edb6b327a9458e15671321fd5cb559aa3dc0b0cc85dff3f57573f055b6b.ps1,2.62890625
100,DownloadFile,2670.ps1,fa2y/malicious_samples/b8d5508beb51b47281ed14c07b878a821f09732ff03412c7cf07de000cfb561b.ps1,2.783203125
