pair_idx,pair_indicator,benign_filename,benign_manifest_rank,benign_used_char_len,malicious_filename,malicious_manifest_rank,malicious_used_char_len,indicator_positions,indicator_count
1,-EncodedCommand,1735.ps1,,952,3321.ps1,,2527,"[146, 147, 148, 219, 220, 249, 250, 1565, 1566, 1625, 1626, 1681, 1682, 1683, 1723, 1724, 1740, 1741]",7
2,DownloadFile,2670.ps1,,975,137.ps1,,110,"[146, 147, 148, 201, 202, 203, 205, 206, 223, 224, 225]",3
3,DownloadString,1113.ps1,,2146,450.ps1,,75,"[146, 147, 148, 197, 198, 202, 203, 204, 206, 207]",3
4,FromBase64String,1238.ps1,,288,3537.ps1,,282,"[146, 147, 148, 209, 210, 215, 216, 217, 219, 220, 247, 248, 249, 250, 255, 256, 257, 259, 260]",6
5,FromBase64String,1670.ps1,,498,3780.ps1,,499,"[146, 147, 148, 202, 203, 224, 225, 226, 227]",2
6,FromBase64String,1444.ps1,,740,2139.ps1,,857,"[146, 147, 148, 351, 352, 353, 355, 356, 366, 367, 368, 369, 453, 454]",4
7,FromBase64String,2781.ps1,,1062,2792.ps1,,882,"[146, 147, 148, 220, 221, 222, 309, 310, 365, 366, 379, 380, 381, 382, 385, 386, 420, 421, 434, 435, 436, 437, 440, 441]",8
8,FromBase64String,4207.ps1,,1883,3988.ps1,,882,"[146, 147, 148, 220, 221, 222, 309, 310, 365, 366, 379, 380, 381, 382, 385, 386, 420, 421, 434, 435, 436, 437, 440, 441]",8
9,IEX,1637.ps1,,886,784.ps1,,73,"[146, 147, 148, 220, 221]",1
10,Invoke-Expression,329.ps1,,880,3335.ps1,,299,"[146, 147, 148, 258, 259, 260, 277, 278, 282, 283, 284]",3
11,Invoke-Expression,485.ps1,,1023,3387.ps1,,299,"[146, 147, 148, 258, 259, 260, 277, 278, 282, 283, 284]",3
12,Invoke-Expression,489.ps1,,1040,3955.ps1,,299,"[146, 147, 148, 258, 259, 260, 277, 278, 282, 283, 284]",3
13,Invoke-Expression,583.ps1,,1109,722.ps1,,304,"[146, 147, 148, 257, 258, 259, 276, 277, 281, 282, 283]",3
14,Invoke-Expression,1767.ps1,,1224,2019.ps1,,1173,"[146, 147, 148, 197, 198, 199, 230, 231, 232, 233]",2
15,Invoke-Expression,3441.ps1,,1540,2789.ps1,,1625,"[146, 147, 148, 197, 198, 199, 230, 231, 232, 233]",2
16,Invoke-Expression,586.ps1,,1798,3987.ps1,,1625,"[146, 147, 148, 197, 198, 199, 230, 231, 232, 233]",2
17,Invoke-WebRequest,3784.ps1,,592,1362.ps1,,80,"[146, 147, 148, 197, 198, 199]",1
18,Invoke-WebRequest,4058.ps1,,654,3834.ps1,,552,"[146, 147, 148, 209, 210, 211, 212, 324, 325, 326, 355, 356, 412, 413, 414, 415, 416, 417, 418, 419, 455, 456]",5
