layer,head,pair_count,mean_attention_delta,max_attention_delta
0,11,14,0.0030794664552169187,0.006474676541984081
0,26,7,0.004308417971645083,0.005544762127101421
0,24,7,0.00391201999238027,0.005171171855181456
0,28,7,0.002636073007514434,0.005686589516699314
0,9,6,0.003682499441007773,0.006466954480856657
0,1,5,0.0057380279060453175,0.012219144031405449
0,25,5,0.004157101176679135,0.005270244088023901
0,27,5,0.0029148310190066696,0.005092660430818796
0,8,5,0.001120195584371686,0.0017175115644931793
0,29,4,0.0019219725509174168,0.0029785011429339647
3,1,3,0.002910528409605225,0.003803923027589917
0,23,3,0.0006710041780024767,0.0006926136557012796
1,12,2,0.002058493671938777,0.002058493671938777
0,5,2,0.0017876013880595565,0.001973906997591257
2,6,2,0.0012782164849340916,0.0012782164849340916
0,10,2,0.0012606789241544902,0.001450047828257084
0,17,2,0.0006167470710352063,0.0006167470710352063
0,13,2,9.229220449924469e-05,9.229220449924469e-05
0,4,1,0.01047583483159542,0.01047583483159542
0,12,1,0.0066947550512850285,0.0066947550512850285
0,19,1,0.0015012950170785189,0.0015012950170785189
0,14,1,0.0012794501380994916,0.0012794501380994916
1,2,1,0.0012224401580169797,0.0012224401580169797
0,18,1,0.00057526386808604,0.00057526386808604
3,25,1,0.0004180723917670548,0.0004180723917670548
