filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
3321.ps1,malicious,malicious,BLOCK,BLOCK,4.7265625,True,2527,
3943.ps1,malicious,malicious,BLOCK,BLOCK,5.6484375,True,2941,
1269.ps1,malicious,malicious,BLOCK,BLOCK,12.390625,True,139,
1399.ps1,malicious,malicious,BLOCK,BLOCK,11.734375,True,140,
1693.ps1,malicious,malicious,BLOCK,BLOCK,12.984375,True,141,
179.ps1,malicious,malicious,BLOCK,BLOCK,12.8046875,True,141,
450.ps1,malicious,malicious,BLOCK,BLOCK,5.8359375,True,75,
3062.ps1,malicious,malicious,BLOCK,BLOCK,9.78125,True,78,
338.ps1,malicious,malicious,BLOCK,BLOCK,10.921875,True,78,
3100.ps1,malicious,malicious,BLOCK,BLOCK,6.03125,True,81,
3537.ps1,malicious,malicious,BLOCK,BLOCK,3.3203125,True,282,
3537.ps1,malicious,malicious,BLOCK,BLOCK,3.3203125,True,282,
3780.ps1,malicious,malicious,BLOCK,BLOCK,2.296875,True,499,
3780.ps1,malicious,malicious,BLOCK,BLOCK,2.296875,True,499,
784.ps1,malicious,malicious,BLOCK,BLOCK,5.46875,True,73,
784.ps1,malicious,malicious,BLOCK,BLOCK,5.46875,True,73,
2115.ps1,malicious,malicious,BLOCK,BLOCK,5.921875,True,78,
2115.ps1,malicious,malicious,BLOCK,BLOCK,5.921875,True,78,
2019.ps1,malicious,malicious,BLOCK,BLOCK,1.4609375,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,1.4609375,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,1.4609375,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,1.4609375,True,1173,
1362.ps1,malicious,malicious,BLOCK,BLOCK,6.65625,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,6.65625,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,6.65625,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,6.65625,True,80,
