ablation_label,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h0.11+h12.28+h12.5+h12.4,9.953125,2.765625,-7.1875,-72.21350078492935,3,DownloadFile,2670.ps1,1611.ps1,False
h0.11+h12.28+h12.5+h12.4,9.453125,2.875,-6.578125,-69.58677685950413,4,DownloadFile,2670.ps1,4030.ps1,False
h0.11+h12.28+h12.5+h12.4,10.0390625,2.9609375,-7.078125,-70.50583657587549,5,DownloadFile,2670.ps1,1011.ps1,False
h0.11+h12.28+h12.5+h12.4,10.0390625,2.9609375,-7.078125,-70.50583657587549,6,DownloadFile,2670.ps1,2833.ps1,False
h0.11+h12.28+h12.5+h12.4,10.0390625,2.9609375,-7.078125,-70.50583657587549,7,DownloadFile,2670.ps1,3414.ps1,False
h0.11+h12.28+h12.5+h12.4,9.8671875,2.8046875,-7.0625,-71.57561361836896,8,DownloadFile,2670.ps1,1515.ps1,False
h0.11+h12.28+h12.5+h12.4,11.109375,3.8671875,-7.2421875,-65.18987341772153,9,DownloadFile,2670.ps1,1839.ps1,False
h0.11+h12.28+h12.5+h12.4,11.109375,3.8671875,-7.2421875,-65.18987341772153,10,DownloadFile,2670.ps1,1931.ps1,False
h0.11+h12.28+h12.5+h12.4,11.109375,3.8671875,-7.2421875,-65.18987341772153,11,DownloadFile,2670.ps1,3671.ps1,False
h0.11+h12.28+h12.5+h12.4,11.875,3.515625,-8.359375,-70.39473684210526,12,DownloadFile,2670.ps1,2227.ps1,False
h0.11+h12.28+h12.5+h12.4,9.0703125,2.3828125,-6.6875,-73.72954349698536,13,DownloadFile,2670.ps1,3545.ps1,False
h0.11+h12.28+h12.5+h12.4,10.6328125,2.5703125,-8.0625,-75.82659808963997,14,DownloadFile,2670.ps1,1946.ps1,False
h0.11+h12.28+h12.5+h12.4,8.9921875,3.15625,-5.8359375,-64.90008688097306,15,DownloadFile,2670.ps1,3426.ps1,False
h0.11+h12.28+h12.5+h12.4,12.6953125,5.1640625,-7.53125,-59.323076923076925,16,DownloadFile,2670.ps1,1693.ps1,False
h0.11+h12.28+h12.5+h12.4,10.7109375,2.5546875,-8.15625,-76.14879649890591,17,DownloadFile,2670.ps1,179.ps1,False
h0.11+h12.28+h12.5+h12.4,9.890625,2.8828125,-7.0078125,-70.85308056872039,18,DownloadFile,2670.ps1,2294.ps1,False
h0.11+h12.28+h12.5+h12.4,10.3125,2.453125,-7.859375,-76.2121212121212,19,DownloadFile,2670.ps1,2713.ps1,False
h0.11+h12.28+h12.5+h12.4,9.0,2.203125,-6.796875,-75.52083333333334,20,DownloadFile,2670.ps1,2920.ps1,False
h0.11+h12.28+h12.5+h12.4,7.171875,1.3984375,-5.7734375,-80.50108932461873,21,DownloadFile,2670.ps1,1399.ps1,False
h0.11+h12.28+h12.5+h12.4,10.6328125,2.9609375,-7.671875,-72.15282880235121,22,DownloadFile,2670.ps1,1269.ps1,False
h0.11+h12.28+h12.5+h12.4,7.6640625,1.59375,-6.0703125,-79.20489296636084,23,DownloadString,1113.ps1,3084.ps1,False
h0.11+h12.28+h12.5+h12.4,6.984375,1.671875,-5.3125,-76.0626398210291,24,DownloadString,1113.ps1,3278.ps1,False
h0.11+h12.28+h12.5+h12.4,1.671875,0.828125,-0.84375,-50.467289719626166,25,DownloadString,1113.ps1,2190.ps1,False
h0.11+h12.28+h12.5+h12.4,1.671875,0.828125,-0.84375,-50.467289719626166,26,DownloadString,1113.ps1,3804.ps1,False
h0.11+h12.28+h12.5+h12.4,3.9453125,1.1015625,-2.84375,-72.07920792079207,27,DownloadString,1113.ps1,2894.ps1,False
h0.11+h12.28+h12.5+h12.4,2.4609375,0.8359375,-1.625,-66.03174603174602,28,DownloadString,1113.ps1,3100.ps1,False
h0.11+h12.28+h12.5+h12.4,7.6484375,2.0703125,-5.578125,-72.93156281920326,29,DownloadString,1113.ps1,3438.ps1,False
h0.11+h12.28+h12.5+h12.4,6.9609375,1.953125,-5.0078125,-71.94163860830527,30,DownloadString,1113.ps1,3062.ps1,False
h0.11+h12.28+h12.5+h12.4,7.640625,1.78125,-5.859375,-76.68711656441718,31,DownloadString,1113.ps1,338.ps1,False
h0.11+h12.28+h12.5+h12.4,3.2890625,0.90625,-2.3828125,-72.44655581947742,32,DownloadString,1113.ps1,450.ps1,False
h0.11+h12.28+h12.5+h12.4,1.2734375,0.671875,-0.6015625,-47.239263803680984,33,FromBase64String,1670.ps1,3780.ps1,False
h0.11+h12.28+h12.5+h12.4,1.5078125,0.4609375,-1.046875,-69.43005181347151,34,FromBase64String,1238.ps1,3537.ps1,False
h0.11+h12.28+h12.5+h12.4,4.625,2.046875,-2.578125,-55.74324324324324,35,FromBase64String,2781.ps1,1298.ps1,False
h0.11+h12.28+h12.5+h12.4,4.625,2.046875,-2.578125,-55.74324324324324,36,FromBase64String,2781.ps1,2546.ps1,False
h0.11+h12.28+h12.5+h12.4,4.625,2.046875,-2.578125,-55.74324324324324,37,FromBase64String,2781.ps1,905.ps1,False
h0.11+h12.28+h12.5+h12.4,7.203125,2.0625,-5.140625,-71.36659436008676,38,FromBase64String,4207.ps1,git_53.ps1,False
h0.11+h12.28+h12.5+h12.4,5.390625,2.5234375,-2.8671875,-53.188405797101446,39,FromBase64String,1444.ps1,2139.ps1,False
h0.11+h12.28+h12.5+h12.4,3.3359375,1.421875,-1.9140625,-57.377049180327866,40,FromBase64String,1444.ps1,2792.ps1,False
h0.11+h12.28+h12.5+h12.4,3.3359375,1.421875,-1.9140625,-57.377049180327866,41,FromBase64String,1444.ps1,3988.ps1,False
h0.11+h12.28+h12.5+h12.4,3.3359375,1.421875,-1.9140625,-57.377049180327866,42,FromBase64String,2781.ps1,2792.ps1,False
h0.11+h12.28+h12.5+h12.4,3.3359375,1.421875,-1.9140625,-57.377049180327866,43,FromBase64String,2781.ps1,3988.ps1,False
h0.11+h12.28+h12.5+h12.4,5.390625,2.5234375,-2.8671875,-53.188405797101446,44,FromBase64String,2781.ps1,2139.ps1,False
h0.11+h12.28+h12.5+h12.4,1.2734375,0.671875,-0.6015625,-47.239263803680984,45,FromBase64String,1238.ps1,3780.ps1,False
h0.11+h12.28+h12.5+h12.4,1.5078125,0.4609375,-1.046875,-69.43005181347151,46,FromBase64String,1670.ps1,3537.ps1,False
h0.11+h12.28+h12.5+h12.4,1.2734375,0.671875,-0.6015625,-47.239263803680984,47,FromBase64String,1444.ps1,3780.ps1,False
h0.11+h12.28+h12.5+h12.4,4.625,2.046875,-2.578125,-55.74324324324324,48,FromBase64String,1444.ps1,1298.ps1,False
h0.11+h12.28+h12.5+h12.4,4.625,2.046875,-2.578125,-55.74324324324324,49,FromBase64String,1444.ps1,2546.ps1,False
h0.11+h12.28+h12.5+h12.4,4.625,2.046875,-2.578125,-55.74324324324324,50,FromBase64String,1444.ps1,905.ps1,False
h0.11+h12.28+h12.5+h12.4,5.390625,2.5234375,-2.8671875,-53.188405797101446,51,FromBase64String,1670.ps1,2139.ps1,False
h0.11+h12.28+h12.5+h12.4,3.3359375,1.421875,-1.9140625,-57.377049180327866,52,FromBase64String,1670.ps1,2792.ps1,False
h0.11+h12.28+h12.5+h12.4,2.9296875,1.203125,-1.7265625,-58.93333333333334,53,IEX,1637.ps1,2752.ps1,False
h0.11+h12.28+h12.5+h12.4,2.671875,1.125,-1.546875,-57.89473684210527,54,IEX,1637.ps1,2115.ps1,False
h0.11+h12.28+h12.5+h12.4,2.7421875,1.28125,-1.4609375,-53.27635327635327,56,IEX,1637.ps1,784.ps1,False
h0.11+h12.28+h12.5+h12.4,2.9296875,1.203125,-1.7265625,-58.93333333333334,57,IEX,1634.ps1,2752.ps1,False
h0.11+h12.28+h12.5+h12.4,2.671875,1.125,-1.546875,-57.89473684210527,58,IEX,1634.ps1,2115.ps1,False
h0.11+h12.28+h12.5+h12.4,2.7421875,1.28125,-1.4609375,-53.27635327635327,60,IEX,1634.ps1,784.ps1,False
h0.11+h12.28+h12.5+h12.4,8.359375,2.8515625,-5.5078125,-65.88785046728972,81,Invoke-WebRequest,3784.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4,8.359375,2.8515625,-5.5078125,-65.88785046728972,82,Invoke-WebRequest,4058.ps1,3834.ps1,False
h0.11+h12.28+h12.5+h12.4,8.359375,2.8515625,-5.5078125,-65.88785046728972,83,Invoke-WebRequest,3104.ps1,3834.ps1,False
