ablation_label,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h0.11+h12.28+h12.5+h12.4+h12.13,9.953125,2.109375,-7.84375,-78.80690737833595,3,DownloadFile,2670.ps1,1611.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,9.453125,2.125,-7.328125,-77.52066115702479,4,DownloadFile,2670.ps1,4030.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,10.0390625,2.2578125,-7.78125,-77.50972762645915,5,DownloadFile,2670.ps1,1011.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,10.0390625,2.2578125,-7.78125,-77.50972762645915,6,DownloadFile,2670.ps1,2833.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,10.0390625,2.2578125,-7.78125,-77.50972762645915,7,DownloadFile,2670.ps1,3414.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,9.8671875,2.1328125,-7.734375,-78.38479809976246,8,DownloadFile,2670.ps1,1515.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,11.109375,2.8125,-8.296875,-74.68354430379746,9,DownloadFile,2670.ps1,1839.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,11.109375,2.8125,-8.296875,-74.68354430379746,10,DownloadFile,2670.ps1,1931.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,11.109375,2.8125,-8.296875,-74.68354430379746,11,DownloadFile,2670.ps1,3671.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,11.875,2.5703125,-9.3046875,-78.35526315789474,12,DownloadFile,2670.ps1,2227.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,9.0703125,1.6640625,-7.40625,-81.65374677002583,13,DownloadFile,2670.ps1,3545.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,10.6328125,1.8984375,-8.734375,-82.14548126377663,14,DownloadFile,2670.ps1,1946.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,8.9921875,2.4765625,-6.515625,-72.45873153779321,15,DownloadFile,2670.ps1,3426.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,12.6953125,3.75,-8.9453125,-70.46153846153847,16,DownloadFile,2670.ps1,1693.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,10.7109375,1.890625,-8.8203125,-82.3486506199854,17,DownloadFile,2670.ps1,179.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13,9.890625,2.140625,-7.75,-78.35703001579779,18,DownloadFile,2670.ps1,2294.ps1,False
