layer,component,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
1,mlp,5.5859375,0.6396484375,-4.9462890625,-88.54895104895105,1,-EncodedCommand,1735.ps1,3321.ps1,False
2,mlp,5.5859375,0.7265625,-4.859375,-86.993006993007,1,-EncodedCommand,1735.ps1,3321.ps1,False
8,mlp,5.5859375,1.203125,-4.3828125,-78.46153846153847,1,-EncodedCommand,1735.ps1,3321.ps1,False
0,mlp,5.5859375,1.4345703125,-4.1513671875,-74.31818181818181,1,-EncodedCommand,1735.ps1,3321.ps1,False
3,mlp,5.5859375,1.46875,-4.1171875,-73.7062937062937,1,-EncodedCommand,1735.ps1,3321.ps1,False
9,mlp,5.5859375,1.515625,-4.0703125,-72.86713286713287,1,-EncodedCommand,1735.ps1,3321.ps1,False
7,mlp,5.5859375,1.6875,-3.8984375,-69.79020979020979,1,-EncodedCommand,1735.ps1,3321.ps1,False
5,mlp,5.5859375,1.84375,-3.7421875,-66.993006993007,1,-EncodedCommand,1735.ps1,3321.ps1,False
0,attn,5.5859375,2.033203125,-3.552734375,-63.60139860139861,1,-EncodedCommand,1735.ps1,3321.ps1,False
12,mlp,5.5859375,2.0703125,-3.515625,-62.93706293706294,1,-EncodedCommand,1735.ps1,3321.ps1,False
11,attn,5.5859375,2.109375,-3.4765625,-62.23776223776224,1,-EncodedCommand,1735.ps1,3321.ps1,False
7,attn,5.5859375,2.1171875,-3.46875,-62.0979020979021,1,-EncodedCommand,1735.ps1,3321.ps1,False
10,mlp,5.5859375,2.3125,-3.2734375,-58.6013986013986,1,-EncodedCommand,1735.ps1,3321.ps1,False
13,attn,5.5859375,2.3828125,-3.203125,-57.34265734265735,1,-EncodedCommand,1735.ps1,3321.ps1,False
6,mlp,5.5859375,2.609375,-2.9765625,-53.28671328671328,1,-EncodedCommand,1735.ps1,3321.ps1,False
12,attn,5.5859375,2.671875,-2.9140625,-52.167832167832174,1,-EncodedCommand,1735.ps1,3321.ps1,False
10,attn,5.5859375,2.703125,-2.8828125,-51.608391608391614,1,-EncodedCommand,1735.ps1,3321.ps1,False
8,attn,5.5859375,2.8828125,-2.703125,-48.39160839160839,1,-EncodedCommand,1735.ps1,3321.ps1,False
9,attn,5.5859375,2.90625,-2.6796875,-47.972027972027966,1,-EncodedCommand,1735.ps1,3321.ps1,False
17,attn,5.5859375,2.953125,-2.6328125,-47.13286713286713,1,-EncodedCommand,1735.ps1,3321.ps1,False
