layer,component,pair_count,mean_delta,max_delta,min_delta,flip_rate,mean_base_logit_diff
0,attn,18,-4.031901041666667,-0.482421875,-9.9609375,0.2777777777777778,4.442708333333333
7,attn,18,-2.825954861111111,-0.0234375,-8.5546875,0.0,4.442708333333333
11,attn,18,-2.765625,-0.234375,-8.21875,0.0,4.442708333333333
9,attn,18,-2.3606770833333335,0.296875,-5.734375,0.0,4.442708333333333
13,attn,18,-2.1206597222222223,0.4140625,-6.9609375,0.0,4.442708333333333
6,attn,18,-1.9826388888888888,2.3359375,-6.265625,0.16666666666666666,4.442708333333333
12,attn,18,-1.76171875,1.140625,-7.4765625,0.0,4.442708333333333
15,attn,18,-1.7569444444444444,0.140625,-4.71875,0.0,4.442708333333333
24,attn,18,-1.6471354166666667,-0.796875,-2.390625,0.1111111111111111,4.442708333333333
14,attn,18,-1.59765625,0.9375,-6.0703125,0.0,4.442708333333333
8,attn,18,-1.5928819444444444,0.3828125,-5.0390625,0.0,4.442708333333333
17,attn,18,-1.4583333333333333,0.2578125,-4.484375,0.0,4.442708333333333
10,attn,18,-1.1987847222222223,1.375,-5.4765625,0.0,4.442708333333333
31,attn,18,-1.1126302083333333,-0.1640625,-3.0546875,0.0,4.442708333333333
3,attn,18,-0.5946180555555556,3.609375,-3.4140625,0.0,4.442708333333333
27,attn,18,-0.5533854166666666,-0.03125,-1.140625,0.0,4.442708333333333
4,attn,18,-0.4075520833333333,2.609375,-4.5859375,0.0,4.442708333333333
16,attn,18,-0.3328993055555556,0.84375,-3.1015625,0.0,4.442708333333333
21,attn,18,-0.2465277777777778,0.3359375,-0.7890625,0.0,4.442708333333333
30,attn,18,-0.125,0.3046875,-0.578125,0.0,4.442708333333333
23,attn,18,0.026475694444444444,0.1328125,-0.078125,0.0,4.442708333333333
2,attn,18,0.1449652777777778,3.7890625,-2.2265625,0.0,4.442708333333333
18,attn,18,0.14583333333333334,0.6796875,-1.0,0.0,4.442708333333333
29,attn,18,0.1840277777777778,0.4296875,0.046875,0.0,4.442708333333333
5,attn,18,0.2638888888888889,1.8828125,-5.046875,0.0,4.442708333333333
28,attn,18,0.2751736111111111,0.5546875,-0.1171875,0.0,4.442708333333333
1,attn,18,0.3181423611111111,3.1640625,-2.0390625,0.0,4.442708333333333
19,attn,18,0.4123263888888889,1.7109375,-0.5,0.0,4.442708333333333
22,attn,18,0.5594618055555556,1.46875,-0.0234375,0.0,4.442708333333333
26,attn,18,0.6280381944444444,0.8671875,0.34375,0.0,4.442708333333333
20,attn,18,0.8932291666666666,2.1171875,-0.0234375,0.0,4.442708333333333
25,attn,18,1.5920138888888888,2.4140625,0.3125,0.0,4.442708333333333
8,mlp,18,-4.149305555555555,-0.578125,-10.25,0.2222222222222222,4.442708333333333
0,mlp,18,-3.615875244140625,-0.36328125,-9.3125,0.3333333333333333,4.442708333333333
7,mlp,18,-3.607638888888889,-0.3359375,-9.9140625,0.0,4.442708333333333
9,mlp,18,-3.2335069444444446,0.0234375,-10.0625,0.0,4.442708333333333
1,mlp,18,-2.9344007703993054,0.66015625,-8.1727294921875,0.2777777777777778,4.442708333333333
6,mlp,18,-2.783420138888889,0.265625,-8.90625,0.0,4.442708333333333
2,mlp,18,-2.6440972222222223,1.9609375,-6.734375,0.0,4.442708333333333
5,mlp,18,-2.3793402777777777,0.359375,-7.71875,0.0,4.442708333333333
3,mlp,18,-2.2252604166666665,0.859375,-7.2578125,0.0,4.442708333333333
12,mlp,18,-2.0894097222222223,0.8828125,-7.4609375,0.0,4.442708333333333
16,mlp,18,-2.075954861111111,-0.09375,-5.578125,0.0,4.442708333333333
4,mlp,18,-1.6831597222222223,0.6171875,-8.7734375,0.0,4.442708333333333
10,mlp,18,-1.6449652777777777,1.5,-5.4453125,0.0,4.442708333333333
24,mlp,18,-1.3064236111111112,-0.1328125,-2.4765625,0.0,4.442708333333333
15,mlp,18,-1.1983506944444444,0.3125,-2.984375,0.0,4.442708333333333
13,mlp,18,-1.1566840277777777,1.1484375,-3.8984375,0.0,4.442708333333333
30,mlp,18,-0.9097222222222222,0.0625,-2.328125,0.2777777777777778,4.442708333333333
29,mlp,18,-0.7228732638888888,0.4296875,-2.171875,0.0,4.442708333333333
11,mlp,18,-0.6519097222222222,2.015625,-5.6796875,0.0,4.442708333333333
14,mlp,18,-0.5438368055555556,0.5234375,-2.0390625,0.05555555555555555,4.442708333333333
21,mlp,18,-0.4457465277777778,-0.0078125,-0.8125,0.05555555555555555,4.442708333333333
19,mlp,18,-0.3923611111111111,0.2421875,-1.234375,0.0,4.442708333333333
26,mlp,18,-0.06380208333333333,0.0859375,-0.171875,0.0,4.442708333333333
17,mlp,18,-0.022569444444444444,0.7890625,-0.890625,0.0,4.442708333333333
23,mlp,18,0.04383680555555555,0.1875,-0.1796875,0.0,4.442708333333333
20,mlp,18,0.0685763888888889,0.6875,-0.859375,0.0,4.442708333333333
22,mlp,18,0.1792534722222222,0.515625,-0.0703125,0.0,4.442708333333333
25,mlp,18,0.3663194444444444,0.5859375,0.0859375,0.0,4.442708333333333
27,mlp,18,0.6506076388888888,1.3671875,-0.3671875,0.0,4.442708333333333
28,mlp,18,1.0008680555555556,2.0234375,0.515625,0.0,4.442708333333333
31,mlp,18,1.2821180555555556,2.0390625,0.328125,0.0,4.442708333333333
18,mlp,18,1.79296875,3.515625,0.25,0.0,4.442708333333333
