pair_idx,pair_indicator,layer,neuron,contribution_delta,malicious_contribution,activation_delta,benign_filename,malicious_filename
61,Invoke-Expression,0,12810,0.0008573532104492188,-0.00017201900482177734,-0.03173828125,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,11127,0.0004420280456542969,-0.0023097991943359375,0.01239013671875,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,13034,0.00039124488830566406,-7.575750350952148e-05,0.020416259765625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,3325,0.0003886222839355469,-0.00020384788513183594,0.0235595703125,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,12425,0.0003693103790283203,0.0013551712036132812,-0.0105133056640625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,4112,0.0003440380096435547,0.0001398324966430664,-0.024139404296875,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,11796,0.00034332275390625,-5.9664249420166016e-05,-0.0140533447265625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,8222,0.0003197193145751953,-0.00032711029052734375,-0.0242462158203125,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,7356,0.0002799034118652344,-0.00013899803161621094,-0.01165771484375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,0,1344,0.0002722740173339844,-0.00018739700317382812,-0.0149383544921875,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,10403,0.0013523101806640625,-0.0016536712646484375,0.05126953125,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,12638,0.0012197494506835938,-0.0031223297119140625,0.039306640625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,10592,0.00101470947265625,-0.0005688667297363281,-0.07586669921875,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,3211,0.0008225440979003906,0.0017499923706054688,0.05218505859375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,9738,0.00039386749267578125,0.0002269744873046875,0.020904541015625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,13089,0.0003936290740966797,-2.4020671844482422e-05,0.0125579833984375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,11890,0.0003497600555419922,-0.0002732276916503906,0.01528167724609375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,119,0.0003380775451660156,-0.00038051605224609375,0.0172119140625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,6189,0.00030994415283203125,0.0005617141723632812,0.01068115234375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,1,8471,0.00029754638671875,-0.0004448890686035156,-0.0103302001953125,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,2,4615,0.0022449493408203125,-0.00048160552978515625,0.1156005859375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,2,9175,0.00109100341796875,-0.0004031658172607422,-0.04052734375,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
61,Invoke-Expression,2,8853,0.0009226799011230469,0.0020904541015625,-0.047271728515625,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1
