patch_label,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h12.28+h12.5+h12.4+h12.13,9.953125,1.2578125,-8.6953125,-87.36263736263736,3,DownloadFile,2670.ps1,1611.ps1,False
h12.28+h12.5+h12.4+h12.13,9.953125,1.2578125,-8.6953125,-87.36263736263736,3,DownloadFile,2670.ps1,1611.ps1,False
h12.28+h12.5+h12.4+h12.13,9.453125,1.140625,-8.3125,-87.93388429752066,4,DownloadFile,2670.ps1,4030.ps1,False
h12.28+h12.5+h12.4+h12.13,9.453125,1.140625,-8.3125,-87.93388429752066,4,DownloadFile,2670.ps1,4030.ps1,False
h12.28+h12.5+h12.4+h12.13,10.0390625,1.0625,-8.9765625,-89.41634241245137,5,DownloadFile,2670.ps1,1011.ps1,False
h12.28+h12.5+h12.4+h12.13,10.0390625,1.0625,-8.9765625,-89.41634241245137,5,DownloadFile,2670.ps1,1011.ps1,False
h12.28+h12.5+h12.4+h12.13,10.0390625,1.0625,-8.9765625,-89.41634241245137,6,DownloadFile,2670.ps1,2833.ps1,False
h12.28+h12.5+h12.4+h12.13,10.0390625,1.0625,-8.9765625,-89.41634241245137,6,DownloadFile,2670.ps1,2833.ps1,False
h12.28+h12.5+h12.4+h12.13,10.0390625,1.0625,-8.9765625,-89.41634241245137,7,DownloadFile,2670.ps1,3414.ps1,False
h12.28+h12.5+h12.4+h12.13,10.0390625,1.0625,-8.9765625,-89.41634241245137,7,DownloadFile,2670.ps1,3414.ps1,False
h12.28+h12.5+h12.4+h12.13,9.8671875,1.3046875,-8.5625,-86.77751385589866,8,DownloadFile,2670.ps1,1515.ps1,False
h12.28+h12.5+h12.4+h12.13,9.8671875,1.3046875,-8.5625,-86.77751385589866,8,DownloadFile,2670.ps1,1515.ps1,False
h12.28+h12.5+h12.4+h12.13,11.109375,2.0390625,-9.0703125,-81.64556962025317,9,DownloadFile,2670.ps1,1839.ps1,False
h12.28+h12.5+h12.4+h12.13,11.109375,2.0390625,-9.0703125,-81.64556962025317,9,DownloadFile,2670.ps1,1839.ps1,False
h12.28+h12.5+h12.4+h12.13,11.109375,2.0390625,-9.0703125,-81.64556962025317,10,DownloadFile,2670.ps1,1931.ps1,False
h12.28+h12.5+h12.4+h12.13,11.109375,2.0390625,-9.0703125,-81.64556962025317,10,DownloadFile,2670.ps1,1931.ps1,False
h12.28+h12.5+h12.4+h12.13,11.109375,2.0390625,-9.0703125,-81.64556962025317,11,DownloadFile,2670.ps1,3671.ps1,False
h12.28+h12.5+h12.4+h12.13,11.109375,2.0390625,-9.0703125,-81.64556962025317,11,DownloadFile,2670.ps1,3671.ps1,False
h12.28+h12.5+h12.4+h12.13,11.875,1.609375,-10.265625,-86.44736842105263,12,DownloadFile,2670.ps1,2227.ps1,False
h12.28+h12.5+h12.4+h12.13,11.875,1.609375,-10.265625,-86.44736842105263,12,DownloadFile,2670.ps1,2227.ps1,False
h12.28+h12.5+h12.4+h12.13,9.0703125,0.421875,-8.6484375,-95.34883720930233,13,DownloadFile,2670.ps1,3545.ps1,False
h12.28+h12.5+h12.4+h12.13,9.0703125,0.421875,-8.6484375,-95.34883720930233,13,DownloadFile,2670.ps1,3545.ps1,False
h12.28+h12.5+h12.4+h12.13,10.6328125,0.5625,-10.0703125,-94.7097722263042,14,DownloadFile,2670.ps1,1946.ps1,False
h12.28+h12.5+h12.4+h12.13,10.6328125,0.5625,-10.0703125,-94.7097722263042,14,DownloadFile,2670.ps1,1946.ps1,False
h12.28+h12.5+h12.4+h12.13,8.9921875,1.1875,-7.8046875,-86.79409209383145,15,DownloadFile,2670.ps1,3426.ps1,False
h12.28+h12.5+h12.4+h12.13,8.9921875,1.1875,-7.8046875,-86.79409209383145,15,DownloadFile,2670.ps1,3426.ps1,False
h12.28+h12.5+h12.4+h12.13,12.6953125,2.40625,-10.2890625,-81.04615384615384,16,DownloadFile,2670.ps1,1693.ps1,False
h12.28+h12.5+h12.4+h12.13,12.6953125,2.40625,-10.2890625,-81.04615384615384,16,DownloadFile,2670.ps1,1693.ps1,False
