layer,head,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,9.953125,5.3984375,-4.5546875,-45.76138147566719,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
12,5,9.953125,8.375,-1.578125,-15.855572998430143,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
0,11,9.953125,8.75,-1.203125,-12.087912087912088,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
12,28,9.953125,10.0390625,0.0859375,0.8634222919937204,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
12,4,9.453125,5.0859375,-4.3671875,-46.19834710743802,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
12,5,9.453125,7.9296875,-1.5234375,-16.115702479338843,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
0,11,9.453125,8.3359375,-1.1171875,-11.818181818181818,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
12,28,9.453125,9.3125,-0.140625,-1.487603305785124,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
12,4,10.0390625,5.2890625,-4.75,-47.31517509727626,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
12,5,10.0390625,8.1796875,-1.859375,-18.52140077821012,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
0,11,10.0390625,9.234375,-0.8046875,-8.01556420233463,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
12,28,10.0390625,10.125,0.0859375,0.8560311284046693,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
12,4,10.0390625,5.2890625,-4.75,-47.31517509727626,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
12,5,10.0390625,8.1796875,-1.859375,-18.52140077821012,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
0,11,10.0390625,9.234375,-0.8046875,-8.01556420233463,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
12,28,10.0390625,10.125,0.0859375,0.8560311284046693,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
12,4,10.0390625,5.2890625,-4.75,-47.31517509727626,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
12,5,10.0390625,8.1796875,-1.859375,-18.52140077821012,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
0,11,10.0390625,9.234375,-0.8046875,-8.01556420233463,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
12,28,10.0390625,10.125,0.0859375,0.8560311284046693,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
12,4,9.8671875,5.03125,-4.8359375,-49.01029295328583,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
12,5,9.8671875,8.0546875,-1.8125,-18.368962787015043,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
0,11,9.8671875,8.8046875,-1.0625,-10.768012668250197,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
12,28,9.8671875,9.8125,-0.0546875,-0.5542359461599367,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
12,4,11.109375,6.5078125,-4.6015625,-41.42053445850914,9,DownloadFile,2670.ps1,1839.ps1,-2.7265625,False
12,5,11.109375,9.5625,-1.546875,-13.924050632911392,9,DownloadFile,2670.ps1,1839.ps1,-2.7265625,False
0,11,11.109375,10.7890625,-0.3203125,-2.8832630098452885,9,DownloadFile,2670.ps1,1839.ps1,-2.7265625,False
12,28,11.109375,11.0546875,-0.0546875,-0.49226441631504925,9,DownloadFile,2670.ps1,1839.ps1,-2.7265625,False
12,4,11.109375,6.5078125,-4.6015625,-41.42053445850914,10,DownloadFile,2670.ps1,1931.ps1,-2.7265625,False
12,5,11.109375,9.5625,-1.546875,-13.924050632911392,10,DownloadFile,2670.ps1,1931.ps1,-2.7265625,False
0,11,11.109375,10.7890625,-0.3203125,-2.8832630098452885,10,DownloadFile,2670.ps1,1931.ps1,-2.7265625,False
12,28,11.109375,11.0546875,-0.0546875,-0.49226441631504925,10,DownloadFile,2670.ps1,1931.ps1,-2.7265625,False
12,4,11.109375,6.5078125,-4.6015625,-41.42053445850914,11,DownloadFile,2670.ps1,3671.ps1,-2.7265625,False
12,5,11.109375,9.5625,-1.546875,-13.924050632911392,11,DownloadFile,2670.ps1,3671.ps1,-2.7265625,False
0,11,11.109375,10.7890625,-0.3203125,-2.8832630098452885,11,DownloadFile,2670.ps1,3671.ps1,-2.7265625,False
12,28,11.109375,11.0546875,-0.0546875,-0.49226441631504925,11,DownloadFile,2670.ps1,3671.ps1,-2.7265625,False
12,4,11.875,6.75,-5.125,-43.15789473684211,12,DownloadFile,2670.ps1,2227.ps1,-2.7265625,False
12,5,11.875,10.4296875,-1.4453125,-12.171052631578947,12,DownloadFile,2670.ps1,2227.ps1,-2.7265625,False
0,11,11.875,11.25,-0.625,-5.263157894736842,12,DownloadFile,2670.ps1,2227.ps1,-2.7265625,False
12,28,11.875,11.84375,-0.03125,-0.2631578947368421,12,DownloadFile,2670.ps1,2227.ps1,-2.7265625,False
12,4,9.0703125,3.8984375,-5.171875,-57.0198105081826,13,DownloadFile,2670.ps1,3545.ps1,-2.7265625,False
12,5,9.0703125,7.171875,-1.8984375,-20.930232558139537,13,DownloadFile,2670.ps1,3545.ps1,-2.7265625,False
12,28,9.0703125,8.7421875,-0.328125,-3.6175710594315245,13,DownloadFile,2670.ps1,3545.ps1,-2.7265625,False
0,11,9.0703125,9.03125,-0.0390625,-0.4306632213608958,13,DownloadFile,2670.ps1,3545.ps1,-2.7265625,False
12,4,10.6328125,4.78125,-5.8515625,-55.0330639235856,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,5,10.6328125,8.890625,-1.7421875,-16.385011021307864,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
0,11,10.6328125,9.71875,-0.9140625,-8.596620132255694,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,28,10.6328125,10.703125,0.0703125,0.6612784717119765,14,DownloadFile,2670.ps1,1946.ps1,-2.7265625,False
12,4,8.9921875,4.6328125,-4.359375,-48.47958297132928,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,5,8.9921875,7.640625,-1.3515625,-15.030408340573414,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
0,11,8.9921875,8.359375,-0.6328125,-7.037358818418767,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,28,8.9921875,8.65625,-0.3359375,-3.735881841876629,15,DownloadFile,2670.ps1,3426.ps1,-2.7265625,False
12,4,12.6953125,8.671875,-4.0234375,-31.692307692307693,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,5,12.6953125,11.828125,-0.8671875,-6.8307692307692305,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
0,11,12.6953125,12.34375,-0.3515625,-2.769230769230769,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,28,12.6953125,12.5234375,-0.171875,-1.353846153846154,16,DownloadFile,2670.ps1,1693.ps1,-2.7265625,False
12,4,10.7109375,5.3984375,-5.3125,-49.59883296863603,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,5,10.7109375,8.8671875,-1.84375,-17.21371261852662,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
0,11,10.7109375,9.53125,-1.1796875,-11.013858497447119,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,28,10.7109375,10.515625,-0.1953125,-1.8234865061998542,17,DownloadFile,2670.ps1,179.ps1,-2.7265625,False
12,4,9.890625,5.2578125,-4.6328125,-46.84044233807267,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
0,11,9.890625,8.453125,-1.4375,-14.533965244865717,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,5,9.890625,8.5,-1.390625,-14.06003159557662,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,28,9.890625,9.6015625,-0.2890625,-2.9225908372827805,18,DownloadFile,2670.ps1,2294.ps1,-2.7265625,False
12,4,10.3125,4.953125,-5.359375,-51.96969696969697,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,5,10.3125,8.53125,-1.78125,-17.272727272727273,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
0,11,10.3125,8.84375,-1.46875,-14.242424242424242,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
12,28,10.3125,10.296875,-0.015625,-0.15151515151515152,19,DownloadFile,2670.ps1,2713.ps1,-2.7265625,False
