layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,9.953125,3.6796875,-6.2734375,-63.029827315541596,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
12,5,9.953125,8.28125,-1.671875,-16.797488226059652,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
12,28,9.953125,8.421875,-1.53125,-15.384615384615385,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
0,11,9.953125,10.390625,0.4375,4.395604395604396,3,DownloadFile,2670.ps1,1611.ps1,-2.7265625,False
12,4,9.453125,3.328125,-6.125,-64.79338842975207,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
12,5,9.453125,7.8828125,-1.5703125,-16.611570247933884,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
12,28,9.453125,8.0,-1.453125,-15.37190082644628,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
0,11,9.453125,9.1796875,-0.2734375,-2.8925619834710745,4,DownloadFile,2670.ps1,4030.ps1,-2.7265625,False
12,4,10.0390625,3.2265625,-6.8125,-67.85992217898833,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
12,5,10.0390625,8.015625,-2.0234375,-20.155642023346303,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
12,28,10.0390625,8.6796875,-1.359375,-13.540856031128405,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
0,11,10.0390625,9.515625,-0.5234375,-5.214007782101167,5,DownloadFile,2670.ps1,1011.ps1,-2.7265625,False
12,4,10.0390625,3.2265625,-6.8125,-67.85992217898833,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
12,5,10.0390625,8.015625,-2.0234375,-20.155642023346303,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
12,28,10.0390625,8.6796875,-1.359375,-13.540856031128405,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
0,11,10.0390625,9.515625,-0.5234375,-5.214007782101167,6,DownloadFile,2670.ps1,2833.ps1,-2.7265625,False
12,4,10.0390625,3.2265625,-6.8125,-67.85992217898833,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
12,5,10.0390625,8.015625,-2.0234375,-20.155642023346303,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
12,28,10.0390625,8.6796875,-1.359375,-13.540856031128405,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
0,11,10.0390625,9.515625,-0.5234375,-5.214007782101167,7,DownloadFile,2670.ps1,3414.ps1,-2.7265625,False
12,4,9.8671875,3.515625,-6.3515625,-64.37054631828978,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
12,5,9.8671875,8.0234375,-1.84375,-18.68566904196358,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
12,28,9.8671875,8.4140625,-1.453125,-14.726840855106888,8,DownloadFile,2670.ps1,1515.ps1,-2.7265625,False
