patch_label,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.953125,0.453125,-9.5,-95.44740973312402,3,DownloadFile,2670.ps1,1611.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.953125,0.453125,-9.5,-95.44740973312402,3,DownloadFile,2670.ps1,1611.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.453125,0.109375,-9.34375,-98.84297520661157,4,DownloadFile,2670.ps1,4030.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.453125,0.109375,-9.34375,-98.84297520661157,4,DownloadFile,2670.ps1,4030.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.0390625,0.453125,-9.5859375,-95.4863813229572,5,DownloadFile,2670.ps1,1011.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.0390625,0.453125,-9.5859375,-95.4863813229572,5,DownloadFile,2670.ps1,1011.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.0390625,0.453125,-9.5859375,-95.4863813229572,6,DownloadFile,2670.ps1,2833.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.0390625,0.453125,-9.5859375,-95.4863813229572,6,DownloadFile,2670.ps1,2833.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.0390625,0.453125,-9.5859375,-95.4863813229572,7,DownloadFile,2670.ps1,3414.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.0390625,0.453125,-9.5859375,-95.4863813229572,7,DownloadFile,2670.ps1,3414.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.8671875,0.265625,-9.6015625,-97.30799683293745,8,DownloadFile,2670.ps1,1515.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.8671875,0.265625,-9.6015625,-97.30799683293745,8,DownloadFile,2670.ps1,1515.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.109375,0.765625,-10.34375,-93.10829817158931,9,DownloadFile,2670.ps1,1839.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.109375,0.765625,-10.34375,-93.10829817158931,9,DownloadFile,2670.ps1,1839.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.109375,0.765625,-10.34375,-93.10829817158931,10,DownloadFile,2670.ps1,1931.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.109375,0.765625,-10.34375,-93.10829817158931,10,DownloadFile,2670.ps1,1931.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.109375,0.765625,-10.34375,-93.10829817158931,11,DownloadFile,2670.ps1,3671.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.109375,0.765625,-10.34375,-93.10829817158931,11,DownloadFile,2670.ps1,3671.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.875,0.71875,-11.15625,-93.94736842105263,12,DownloadFile,2670.ps1,2227.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,11.875,0.71875,-11.15625,-93.94736842105263,12,DownloadFile,2670.ps1,2227.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.0703125,-0.078125,-9.1484375,-100.86132644272179,13,DownloadFile,2670.ps1,3545.ps1,True
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,9.0703125,-0.078125,-9.1484375,-100.86132644272179,13,DownloadFile,2670.ps1,3545.ps1,True
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.6328125,-0.046875,-10.6796875,-100.44085231447465,14,DownloadFile,2670.ps1,1946.ps1,True
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.6328125,-0.046875,-10.6796875,-100.44085231447465,14,DownloadFile,2670.ps1,1946.ps1,True
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,8.9921875,0.359375,-8.6328125,-96.00347523892268,15,DownloadFile,2670.ps1,3426.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,8.9921875,0.359375,-8.6328125,-96.00347523892268,15,DownloadFile,2670.ps1,3426.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,12.6953125,0.875,-11.8203125,-93.1076923076923,16,DownloadFile,2670.ps1,1693.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,12.6953125,0.875,-11.8203125,-93.1076923076923,16,DownloadFile,2670.ps1,1693.ps1,False
h0.11+h12.28+h12.5+h12.4+h12.13+h12.22+h12.15+h12.2,10.7109375,0.140625,-10.5703125,-98.6870897155361,17,DownloadFile,2670.ps1,179.ps1,False
