layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,15,3,-0.035695393880208336,0.0262908935546875,0.061986287434895836,0.0636749267578125,0.0598297119140625,1.0
12,28,3,-0.06322224934895833,-0.006763458251953125,0.05645879109700521,0.06379318237304688,0.046367645263671875,1.0
12,2,3,-0.012079874674479166,0.043121337890625,0.055201212565104164,0.0601959228515625,0.0512237548828125,1.0
4,20,3,-0.005730946858723958,0.045257568359375,0.05098851521809896,0.0544281005859375,0.0474395751953125,1.0
12,5,3,-0.032735188802083336,0.00382232666015625,0.036557515462239586,0.04026031494140625,0.03296661376953125,1.0
8,7,3,0.002597808837890625,0.03369140625,0.031093597412109375,0.03592109680175781,0.026454925537109375,1.0
12,31,3,-0.0013713836669921875,0.0247802734375,0.026151657104492188,0.031597137451171875,0.021015167236328125,1.0
12,0,3,-0.0025409062703450522,0.0218353271484375,0.02437623341878255,0.026092529296875,0.02330493927001953,1.0
6,23,3,-0.007399241129557292,0.0166473388671875,0.024046579996744793,0.0255126953125,0.023006439208984375,1.0
10,27,3,-0.010793050130208334,0.0098419189453125,0.020634969075520832,0.0212554931640625,0.0193939208984375,1.0
7,20,3,-0.011912027994791666,0.00603485107421875,0.017946879069010418,0.02050018310546875,0.01555633544921875,1.0
12,22,3,-0.014887491861979166,0.003017425537109375,0.017904917399088543,0.019435882568359375,0.016063690185546875,1.0
