layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,15,3,-0.035695393880208336,0.0236663818359375,0.059361775716145836,0.0610504150390625,0.0572052001953125,1.0
12,28,3,-0.06322224934895833,-0.010589599609375,0.052632649739583336,0.059967041015625,0.04254150390625,1.0
12,2,3,-0.012079874674479166,0.03765869140625,0.049738566080729164,0.0547332763671875,0.0457611083984375,1.0
4,20,3,-0.005730946858723958,0.04296875,0.04869969685872396,0.0521392822265625,0.0451507568359375,1.0
12,5,3,-0.032735188802083336,0.00262451171875,0.035359700520833336,0.0390625,0.031768798828125,1.0
8,7,3,0.002597808837890625,0.0310211181640625,0.028423309326171875,0.03325080871582031,0.023784637451171875,1.0
6,23,3,-0.007399241129557292,0.0190887451171875,0.026487986246744793,0.0279541015625,0.025447845458984375,1.0
12,31,3,-0.0013713836669921875,0.0224151611328125,0.023786544799804688,0.029232025146484375,0.018650054931640625,1.0
12,0,3,-0.0025409062703450522,0.0203399658203125,0.02288087209065755,0.02459716796875,0.02180957794189453,1.0
10,27,3,-0.010793050130208334,0.00994110107421875,0.020734151204427082,0.02135467529296875,0.01949310302734375,1.0
12,13,3,-0.0042374928792317705,0.0142974853515625,0.01853497823079427,0.02352142333984375,0.012742996215820312,1.0
12,22,3,-0.014887491861979166,0.0031452178955078125,0.01803270975748698,0.019563674926757812,0.016191482543945312,1.0
