trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,0,0,61,Invoke-Expression,1767.ps1,2019.ps1,0.00403594970703125,0.00363922119140625,-0.000396728515625
13,pre,mean_delta,0,1,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0023670196533203125,-0.002155303955078125,0.0002117156982421875
13,pre,mean_delta,0,2,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0004649162292480469,-0.0005908012390136719,-0.000125885009765625
13,pre,mean_delta,0,3,61,Invoke-Expression,1767.ps1,2019.ps1,0.0006394386291503906,6.508827209472656e-05,-0.0005743503570556641
13,pre,mean_delta,0,4,61,Invoke-Expression,1767.ps1,2019.ps1,-2.574920654296875e-05,0.00022125244140625,0.00024700164794921875
13,pre,mean_delta,0,5,61,Invoke-Expression,1767.ps1,2019.ps1,-6.830692291259766e-05,-0.0001933574676513672,-0.00012505054473876953
13,pre,mean_delta,0,6,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0014257431030273438,-0.0011577606201171875,0.00026798248291015625
13,pre,mean_delta,0,7,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0025787353515625,-0.00225830078125,0.0003204345703125
13,pre,mean_delta,0,8,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0014524459838867188,0.0008249282836914062,0.002277374267578125
13,pre,mean_delta,0,9,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0008459091186523438,-0.0017595291137695312,-0.0009136199951171875
13,pre,mean_delta,0,10,61,Invoke-Expression,1767.ps1,2019.ps1,0.0006117820739746094,0.0007610321044921875,0.00014925003051757812
13,pre,mean_delta,0,11,61,Invoke-Expression,1767.ps1,2019.ps1,4.184246063232422e-05,-0.00046944618225097656,-0.0005112886428833008
13,pre,mean_delta,0,12,61,Invoke-Expression,1767.ps1,2019.ps1,0.0014972686767578125,0.00039076805114746094,-0.0011065006256103516
13,pre,mean_delta,0,13,61,Invoke-Expression,1767.ps1,2019.ps1,0.00028252601623535156,-0.0009417533874511719,-0.0012242794036865234
13,pre,mean_delta,0,14,61,Invoke-Expression,1767.ps1,2019.ps1,-0.007160186767578125,-0.00572967529296875,0.001430511474609375
13,pre,mean_delta,0,15,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0008602142333984375,-0.0002999305725097656,0.0005602836608886719
13,pre,mean_delta,0,16,61,Invoke-Expression,1767.ps1,2019.ps1,0.00034332275390625,0.0005784034729003906,0.00023508071899414062
13,pre,mean_delta,0,17,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00039386749267578125,-0.0012664794921875,-0.0008726119995117188
13,pre,mean_delta,0,18,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00049591064453125,0.00023865699768066406,0.0007345676422119141
13,pre,mean_delta,0,19,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00018489360809326172,-3.337860107421875e-05,0.00015151500701904297
13,pre,mean_delta,0,20,61,Invoke-Expression,1767.ps1,2019.ps1,0.0027008056640625,0.001705169677734375,-0.000995635986328125
13,pre,mean_delta,0,21,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00690460205078125,-0.006687164306640625,0.000217437744140625
13,pre,mean_delta,0,22,61,Invoke-Expression,1767.ps1,2019.ps1,-0.000553131103515625,0.0008115768432617188,0.0013647079467773438
13,pre,mean_delta,0,23,61,Invoke-Expression,1767.ps1,2019.ps1,-0.030059814453125,-0.0275726318359375,0.0024871826171875
13,pre,mean_delta,0,24,61,Invoke-Expression,1767.ps1,2019.ps1,0.003185272216796875,0.0030059814453125,-0.000179290771484375
13,pre,mean_delta,0,25,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0005736351013183594,-0.00015854835510253906,0.0004150867462158203
13,pre,mean_delta,0,26,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00711822509765625,-0.0070343017578125,8.392333984375e-05
13,pre,mean_delta,0,27,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0010480880737304688,-0.0004258155822753906,0.0006222724914550781
13,pre,mean_delta,0,28,61,Invoke-Expression,1767.ps1,2019.ps1,-0.00600433349609375,-0.007549285888671875,-0.001544952392578125
13,pre,mean_delta,0,29,61,Invoke-Expression,1767.ps1,2019.ps1,-0.003753662109375,-0.003726959228515625,2.6702880859375e-05
13,pre,mean_delta,0,30,61,Invoke-Expression,1767.ps1,2019.ps1,-0.004230499267578125,-0.004268646240234375,-3.814697265625e-05
13,pre,mean_delta,0,31,61,Invoke-Expression,1767.ps1,2019.ps1,-0.004184722900390625,-0.004184722900390625,0.0
13,pre,mean_delta,1,0,61,Invoke-Expression,1767.ps1,2019.ps1,0.0020294189453125,0.0008487701416015625,-0.0011806488037109375
13,pre,mean_delta,1,1,61,Invoke-Expression,1767.ps1,2019.ps1,0.00014460086822509766,0.00030112266540527344,0.00015652179718017578
13,pre,mean_delta,1,2,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0033721923828125,-0.0017452239990234375,0.0016269683837890625
13,pre,mean_delta,1,3,61,Invoke-Expression,1767.ps1,2019.ps1,0.0004489421844482422,-0.0016298294067382812,-0.0020787715911865234
13,pre,mean_delta,1,4,61,Invoke-Expression,1767.ps1,2019.ps1,-0.002353668212890625,-0.0084381103515625,-0.006084442138671875
13,pre,mean_delta,1,5,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0013494491577148438,-0.0007333755493164062,0.0006160736083984375
13,pre,mean_delta,1,6,61,Invoke-Expression,1767.ps1,2019.ps1,0.0011043548583984375,-0.00033402442932128906,-0.0014383792877197266
13,pre,mean_delta,1,7,61,Invoke-Expression,1767.ps1,2019.ps1,-0.0014438629150390625,-0.00133514404296875,0.0001087188720703125
13,pre,mean_delta,1,8,61,Invoke-Expression,1767.ps1,2019.ps1,0.0009355545043945312,0.0012302398681640625,0.00029468536376953125
13,pre,mean_delta,1,9,61,Invoke-Expression,1767.ps1,2019.ps1,0.0007200241088867188,0.0009984970092773438,0.000278472900390625
13,pre,mean_delta,1,10,61,Invoke-Expression,1767.ps1,2019.ps1,0.0051422119140625,0.004802703857421875,-0.000339508056640625
13,pre,mean_delta,1,11,61,Invoke-Expression,1767.ps1,2019.ps1,0.001651763916015625,0.00027561187744140625,-0.0013761520385742188
13,pre,mean_delta,1,12,61,Invoke-Expression,1767.ps1,2019.ps1,-0.000701904296875,-0.0010061264038085938,-0.00030422210693359375
13,pre,mean_delta,1,13,61,Invoke-Expression,1767.ps1,2019.ps1,-0.003082275390625,-0.00311279296875,-3.0517578125e-05
