trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,10,0,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.01265716552734375,-0.041473388671875,-0.02881622314453125
13,pre,mean_delta,10,1,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.002777099609375,0.0027179718017578125,0.0054950714111328125
13,pre,mean_delta,10,2,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,0.003662109375,0.005496978759765625,0.001834869384765625
13,pre,mean_delta,10,3,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.01413726806640625,-0.02496337890625,-0.01082611083984375
13,pre,mean_delta,10,4,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,0.00783538818359375,0.005130767822265625,-0.002704620361328125
13,pre,mean_delta,10,5,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.00687408447265625,-0.00705718994140625,-0.00018310546875
13,pre,mean_delta,10,6,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.0018720626831054688,-0.003505706787109375,-0.0016336441040039062
13,pre,mean_delta,10,7,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.0024585723876953125,-0.0001678466796875,0.0022907257080078125
13,pre,mean_delta,10,8,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.00786590576171875,-0.005893707275390625,0.001972198486328125
13,pre,mean_delta,10,9,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.00446319580078125,-0.0045928955078125,-0.00012969970703125
13,pre,mean_delta,10,10,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.00083160400390625,-0.0038890838623046875,-0.0030574798583984375
13,pre,mean_delta,10,11,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,0.01299285888671875,0.011322021484375,-0.00167083740234375
13,pre,mean_delta,10,12,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.002704620361328125,-0.00290679931640625,-0.000202178955078125
13,pre,mean_delta,10,13,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.0007572174072265625,-0.0016469955444335938,-0.0008897781372070312
13,pre,mean_delta,10,14,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.001247406005859375,-0.0002722740173339844,0.0009751319885253906
13,pre,mean_delta,10,15,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.006927490234375,-0.00473785400390625,0.00218963623046875
13,pre,mean_delta,10,16,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,0.0039005279541015625,0.003398895263671875,-0.0005016326904296875
13,pre,mean_delta,10,17,1,-EncodedCommand,1735.ps1,fa2y/malicious_samples/a0d2b85a7fd09295b303e9bbb6368d9dbd735cdf05f457e25ff5802f31037001.ps1,-0.0072174072265625,-0.0159149169921875,-0.008697509765625
