layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
11,5,206,0.051268197957751824,0.15031640506485133,0.09904820710709951,0.148345947265625,-0.0421142578125,0.9660194174757282
12,4,206,-0.015989173963231948,0.04711145741268269,0.06310063137591464,0.1076812744140625,0.006439208984375,1.0
12,28,206,-0.0073919944392824635,0.054904679650241886,0.06229667408952435,0.109619140625,-0.008058547973632812,0.9805825242718447
12,5,206,-0.009236696854378413,0.05051921091033417,0.05975590776471258,0.09251785278320312,0.007771968841552734,1.0
12,15,206,-0.02177656969977814,0.026955099360456744,0.048731669060234885,0.072662353515625,-0.016880035400390625,0.9757281553398058
10,27,206,0.02410888671875,0.06932860439263501,0.04521971767388501,0.08490753173828125,0.002105712890625,1.0
12,13,206,0.007524594230559266,0.04844965518099591,0.04092506095043664,0.06638336181640625,-0.0007781982421875,0.9951456310679612
12,2,206,-0.01296347321815861,0.02773754920774293,0.04070102242590154,0.0688323974609375,-0.0089569091796875,0.9660194174757282
12,0,206,0.015834178739381068,0.05067377183043841,0.034839593091057344,0.05484771728515625,-0.04410552978515625,0.8592233009708737
14,24,206,-0.0026293234917724017,0.029656985431041533,0.032286308922813936,0.05111885070800781,-0.006710052490234375,0.9611650485436893
12,22,206,-0.015412543583842158,0.0165873818027163,0.03199992538655846,0.05218505859375,0.00070953369140625,1.0
15,8,206,0.006881845807566226,0.037674839056811286,0.03079299324924506,0.05339217185974121,-0.00372314453125,0.9805825242718447
15,4,206,0.0024833991689589417,0.03290668274592427,0.030423283576965332,0.06659698486328125,-0.012896537780761719,0.9660194174757282
11,9,206,-0.022393828456841625,0.0013594812559850008,0.023753309712826628,0.0423431396484375,-0.0104827880859375,0.9368932038834952
15,9,206,0.01348320488790864,0.03637650869425061,0.02289330380634197,0.0340118408203125,-0.00177001953125,0.9902912621359223
11,15,206,0.012108441695426275,0.02956749629048468,0.017459054595058403,0.0283050537109375,-0.012237548828125,0.9611650485436893
11,20,206,0.015422784009026093,0.0328639873023172,0.01744120329329111,0.034515380859375,-0.0054168701171875,0.9611650485436893
13,15,206,0.006412580175307191,0.023785026328077594,0.017372446152770404,0.03460693359375,-0.00504302978515625,0.9660194174757282
12,21,206,-0.04287201224021541,-0.02628715292921344,0.01658485931100197,0.02880859375,-0.01641845703125,0.9223300970873787
13,12,206,-0.026372224381826456,-0.009879179660556386,0.01649304472127007,0.02938365936279297,-0.00555419921875,0.9466019417475728
13,18,206,0.017128842548259252,0.03299972386036104,0.01587088131210179,0.0267181396484375,-0.0005645751953125,0.9951456310679612
13,7,206,-0.00436246742322607,0.01130509984146044,0.01566756726468651,0.0321807861328125,-0.007915496826171875,0.970873786407767
13,22,206,-0.009849307606521161,0.0047355913421482715,0.014584898948669434,0.02552032470703125,-0.003047943115234375,0.9951456310679612
12,24,206,0.0042426146349860624,0.017634174198780245,0.013391559563794182,0.022508621215820312,-0.0076751708984375,0.9660194174757282
14,18,206,0.007464288507850424,0.020000309620088745,0.012536021112238319,0.022342681884765625,-0.011211395263671875,0.8980582524271845
12,25,206,0.004640032944170017,0.01702487352982308,0.012384840585653064,0.02110576629638672,-0.0053348541259765625,0.9320388349514563
13,21,206,-0.015485819103648362,-0.0036615370546729817,0.01182428204897538,0.02207183837890625,-0.0037841796875,0.9902912621359223
13,27,206,0.012297398835709952,0.02389900429734906,0.011601605461639108,0.02307891845703125,-0.009002685546875,0.9029126213592233
10,19,206,0.019716688730184315,0.03102967345598832,0.011312984725804005,0.02178955078125,-0.00859832763671875,0.883495145631068
10,1,206,-0.0037817121709434734,0.00706229134670739,0.010844003517650863,0.020450592041015625,-0.004001617431640625,0.9514563106796117
13,30,206,0.0022857443800250303,0.012482740346667836,0.010196995966642806,0.020376205444335938,-0.007315635681152344,0.970873786407767
11,12,206,0.0036566650983199333,0.01381154662197076,0.010154881523650827,0.01511383056640625,-0.002044677734375,0.9854368932038835
