layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,28,18,-0.12054443359375,0.0007199181450737847,0.12126435173882379,0.17559814453125,0.07671737670898438,1.0
12,5,18,-0.0240889655219184,0.055931939019097224,0.08002090454101562,0.109100341796875,0.05548858642578125,1.0
12,4,18,-0.043332417805989586,0.01632955339219835,0.05966197119818793,0.087615966796875,0.030303955078125,1.0
12,13,18,0.0008288489447699653,0.054734124077690974,0.05390527513292101,0.088165283203125,0.01633453369140625,1.0
10,27,18,0.015626907348632812,0.06835259331597222,0.05272568596733941,0.08130645751953125,0.0288238525390625,1.0
15,4,18,-0.04156324598524305,0.007547285821702745,0.0491105318069458,0.08449554443359375,0.0088348388671875,1.0
14,24,18,-0.029932657877604168,0.014474895265367296,0.04440755314297146,0.073089599609375,0.017364501953125,1.0
12,22,18,-0.030805799696180556,0.013601144154866537,0.04440694385104709,0.06585693359375,0.016542911529541016,1.0
12,15,18,-0.03147761027018229,0.010908305644989014,0.0423859159151713,0.0673828125,0.02440643310546875,1.0
12,2,18,-0.01587610774570041,0.021936886840396456,0.03781299458609687,0.080841064453125,0.01310431957244873,1.0
15,8,18,-0.026407029893663194,0.009225103590223525,0.03563213348388672,0.0764617919921875,0.00858306884765625,1.0
15,9,18,-0.019906706280178495,0.015148162841796875,0.03505486912197537,0.05291748046875,0.01180124282836914,1.0
